P33FR3,C,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.19794106483,350.0,50.0,273,448,1,0,13,600,399.380068578,0.0407569408417
1,5.78099918365,312.400029931,647.634410394,315,642,1,0,13,600,0.205354530814,0.0010449886322
2,8.94795322418,424.606966149,59.4250516614,429,65,1,0,13,600,1.09780215207,0.00092887878418
3,12.9109864235,239.562634195,628.932945766,242,631,0,0,13,600,0,0.000947952270508
4,15.2394173145,494.526102231,87.1079959868,499,91,0,0,13,600,0,0.000772953033447
5,16.6879162788,173.664424312,592.705098312,190,565,1,0,13,600,26.1624549056,0.000964164733887
6,19.9377679825,555.364131779,131.309411774,174,592,1,0,13,600,592.058875938,0.000917196273804
7,23.2634100914,118.846027167,541.227196925,195,498,1,0,13,600,81.5672206489,0.000994920730591
8,27.37154603,603.298377651,189.251961506,609,193,1,0,13,600,0.823216980675,0.000921964645386
9,32.5089819431,78.5518842602,477.73378747,93,443,1,0,13,600,31.6189319414,0.000733137130737
10,35.3906009197,635.316954889,257.294901688,633,261,0,0,13,600,0,0.000843048095703
11,37.3944511414,55.3138247814,406.214394376,62,404,1,0,13,600,1.04332886532,0.000718832015991
12,44.4705901146,649.408018528,331.162844141,46,420,1,0,13,600,603.912515928,0.000964879989624
13,48.0485181808,50.5919814715,331.162844141,172,342,1,0,13,600,115.890733487,0.00125002861023
14,50.0458180904,644.686175219,406.214394376,46,334,1,0,13,600,597.025749992,0.00115203857422
15,54.0117402077,64.6830451115,257.294901688,203,297,1,0,13,600,137.903004978,0.000652074813843
16,55.9802119732,621.44811574,477.73378747,625,475,0,0,13,600,0,0.000986099243164
17,60.1628808975,96.7016223494,189.251961506,145,235,1,0,13,600,60.5253057844,0.000519990921021
18,65.1513578892,581.153972833,541.227196925,585,530,1,0,13,600,5.86768198745,0.000909090042114
19,72.2242701054,144.635868221,131.309411774,393,351,1,0,13,600,325.585127093,0.000990867614746
20,74.1551570892,526.335575688,592.705098312,523,597,0,0,13,600,0,0.000943899154663
21,76.8096101284,205.473897769,87.1079959868,200,86,0,0,13,600,0,0.000916957855225
22,81.3517410755,460.437365805,628.932945766,467,630,1,0,13,600,0.64881736171,0.000504016876221
23,83.874171257,275.393033851,59.4250516614,275,55,0,0,13,600,0,0.000528812408447
24,86.5175743103,387.599970069,647.634410394,385,649,0,0,13,600,0,0.00103306770325
25,89.299721241,350.0,50.0,351,50,0,0,13,600,0,0.000791072845459
