P33M1,B,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.926978826523,350.0,150.0,350,145,0,0,27,400,0,0.00461411476135
1,2.02388882637,324.933353287,548.422940263,338,480,1,0,27,400,56.6594287268,0.103073120117
2,2.92886161804,399.737977433,156.283367774,399,146,0,0,27,400,0,0.0550022125244
3,3.57374954224,276.375089463,535.955297178,270,544,0,0,27,400,0,0.0950829982758
4,4.2687485218,446.35073482,174.738663991,446,183,0,0,27,400,0,0.0950689315796
5,4.9636285305,232.442949542,511.803398875,224,517,0,0,27,400,0,0.118965148926
6,5.60068750381,486.909421186,204.206274516,483,209,0,0,27,400,0,0.0949940681458
7,6.5116174221,195.897351445,477.48479795,187,494,1,0,27,400,5.75939128794,0.137001037598
8,7.23059153557,518.8655851,242.834641004,511,241,0,0,27,400,0,0.0150518417358
9,7.88364267349,169.034589507,435.155858313,169,443,0,0,27,400,0,0.118922948837
10,8.8099937439,540.211303259,288.196601125,557,286,1,0,27,400,3.93178652011,0.0490479469299
11,10.1651465893,153.542549854,387.476262917,166,380,1,0,27,400,1.52868099105,0.127314090729
12,10.8920226097,549.605345686,337.441896094,546,332,0,0,27,400,0,0.0791170597076
13,11.6348872185,150.394654314,337.441896094,147,343,0,0,27,400,0,0.135058164597
14,12.3618700504,546.457450146,387.476262917,543,388,0,0,27,400,0,0.111008167267
15,13.1669180393,159.788696741,288.196601125,167,295,0,0,27,400,0,0.0309491157532
16,14.0696849823,530.965410493,435.155858313,536,425,0,0,27,400,0,0.0170769691467
17,14.8367249966,181.1344149,242.834641004,176,249,0,0,27,400,0,0.143176078796
18,15.457678318,504.102648555,477.48479795,505,471,0,0,27,400,0,0.150901794434
19,16.344627142,213.090578814,204.206274516,216,214,0,0,27,400,0,0.153063058853
20,17.0555901527,467.557050458,511.803398875,472,512,0,0,27,400,0,0.118882894516
21,18.934690237,253.64926518,174.738663991,247,186,1,0,27,400,0.0778597687802,0.102905988693
22,19.5477843285,423.624910537,535.955297178,421,531,0,0,27,400,0,0.151012897491
23,20.3768835068,300.262022567,156.283367774,295,161,0,0,27,400,0,0.0806999206543
24,20.917765379,375.066646713,548.422940263,380,542,0,0,27,400,0,0.161092042923
25,21.546756506,350.0,150.0,351,144,0,0,27,400,0,0.159056901932
