P33T3,B,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.9645960331,350.0,150.0,352,142,0,0,27,400,0,0.530147075653
1,2.9686050415,324.933353287,548.422940263,320,544,0,0,27,400,0,0.262085914612
2,4.26708698273,399.737977433,156.283367774,398,159,0,0,27,400,0,0.207225084305
3,5.43019485474,276.375089463,535.955297178,275,538,0,0,27,400,0,0.328602075577
4,6.37755084038,446.35073482,174.738663991,447,171,0,0,27,400,0,0.171143054962
5,7.50691390038,232.442949542,511.803398875,230,516,0,0,27,400,0,0.331628084183
6,8.64272475243,486.909421186,204.206274516,485,205,0,0,27,400,0,0.17107796669
7,9.91971683502,195.897351445,477.48479795,199,473,0,0,27,400,0,0.141056060791
8,11.1174538136,518.8655851,242.834641004,514,251,0,0,27,400,0,0.181770086288
9,12.1763675213,169.034589507,435.155858313,175,438,0,0,27,400,0,0.190226078033
10,13.1586925983,540.211303259,288.196601125,538,285,0,0,27,400,0,0.153517007828
11,15.6149375439,153.542549854,387.476262917,141,383,1,0,27,400,0.317375362663,0.271933078766
12,16.8215835094,549.605345686,337.441896094,550,335,0,0,27,400,0,0.28081703186
13,17.8404796124,150.394654314,337.441896094,151,337,0,0,27,400,0,0.221212863922
14,19.2040827274,546.457450146,387.476262917,554,389,0,0,27,400,0,0.154541015625
15,20.3505506516,159.788696741,288.196601125,157,284,0,0,27,400,0,0.236660957336
16,21.4427905083,530.965410493,435.155858313,525,439,0,0,27,400,0,0.110866069794
17,22.972720623,181.1344149,242.834641004,186,247,0,0,27,400,0,0.0961949825287
18,24.050526619,504.102648555,477.48479795,508,476,0,0,27,400,0,0.169697999954
19,25.1745846272,213.090578814,204.206274516,217,205,0,0,27,400,0,0.187304019928
20,26.4447574615,467.557050458,511.803398875,475,506,0,0,27,400,0,0.266309022903
21,27.4879236221,253.64926518,174.738663991,265,176,0,0,27,400,0,0.220036029816
22,28.5424284935,423.624910537,535.955297178,429,541,0,0,27,400,0,0.205405950546
23,29.6933636665,300.262022567,156.283367774,300,167,0,0,27,400,0,0.200037002563
24,30.734436512,375.066646713,548.422940263,381,553,0,0,27,400,0,0.255252122879
25,32.0728542805,350.0,150.0,352,147,0,0,27,400,0,0.364802122116
