P33T3,C,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.54111814499,350.0,50.0,348,52,0,0,13,600,0,1.35364794731
1,3.84545612335,312.400029931,647.634410394,312,645,0,0,13,600,0,0.289380073547
2,5.88968110085,424.606966149,59.4250516614,426,59,0,0,13,600,0,0.274399995804
3,7.34988713264,239.562634195,628.932945766,243,627,0,0,13,600,0,0.10978102684
4,8.97960186005,494.526102231,87.1079959868,499,90,0,0,13,600,0,0.186271190643
5,10.4863920212,173.664424312,592.705098312,175,598,0,0,13,600,0,0.172601938248
6,12.201862812,555.364131779,131.309411774,557,129,0,0,13,600,0,0.233968019485
7,13.8476238251,118.846027167,541.227196925,122,542,0,0,13,600,0,0.187983989716
8,15.5708119869,603.298377651,189.251961506,606,187,0,0,13,600,0,0.20268201828
9,17.1355748177,78.5518842602,477.73378747,83,480,0,0,13,600,0,0.190119028091
10,18.6310610771,635.316954889,257.294901688,635,259,0,0,13,600,0,0.205056905746
11,20.228635788,55.3138247814,406.214394376,53,410,0,0,13,600,0,0.214109182358
12,21.7329297066,649.408018528,331.162844141,647,333,0,0,13,600,0,0.304363012314
13,23.2123305798,50.5919814715,331.162844141,55,331,0,0,13,600,0,0.297151088715
14,24.934378624,644.686175219,406.214394376,645,408,0,0,13,600,0,0.352616071701
15,26.6526246071,64.6830451115,257.294901688,70,260,0,0,13,600,0,0.170861005783
16,28.0124316216,621.44811574,477.73378747,622,483,0,0,13,600,0,0.265897989273
17,30.028819561,96.7016223494,189.251961506,101,192,0,0,13,600,0,0.221014976501
18,31.7351896763,581.153972833,541.227196925,582,546,0,0,13,600,0,0.155396938324
19,33.3461856842,144.635868221,131.309411774,146,134,0,0,13,600,0,0.205966949463
20,35.0810687542,526.335575688,592.705098312,527,597,0,0,13,600,0,0.191411018372
21,36.7848958969,205.473897769,87.1079959868,208,87,0,0,13,600,0,0.179468870163
22,38.444411993,460.437365805,628.932945766,463,632,0,0,13,600,0,0.124339818954
23,39.9543271065,275.393033851,59.4250516614,279,61,0,0,13,600,0,0.175786018372
24,43.6869859695,387.599970069,647.634410394,391,653,1,0,13,600,0.352145727708,0.141116142273
25,45.1804597378,350.0,50.0,352,48,0,0,13,600,0,0.262606143951
