P34FA2,B,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.30262088776,350.0,150.0,349,161,0,0,27,400,0,8.41320014
1,3.96317386627,324.933353287,548.422940263,382,567,1,0,27,400,47.0142426056,0.000730991363525
2,5.58143782616,399.737977433,156.283367774,405,159,0,0,27,400,0,0.000712156295776
3,7.53620767593,276.375089463,535.955297178,276,552,1,0,27,400,3.04908660213,0.000891923904419
4,8.79084873199,446.35073482,174.738663991,447,168,0,0,27,400,0,0.00114607810974
5,10.0525178909,232.442949542,511.803398875,236,506,0,0,27,400,0,0.000836849212646
6,11.4944777489,486.909421186,204.206274516,487,211,0,0,27,400,0,0.000768184661865
7,13.6223726273,195.897351445,477.48479795,211,467,1,0,27,400,5.3853469216,0.000962018966675
8,14.8760056496,518.8655851,242.834641004,523,243,0,0,27,400,0,0.000829935073853
9,16.0674116611,169.034589507,435.155858313,171,431,0,0,27,400,0,0.000818014144897
10,17.2517328262,540.211303259,288.196601125,542,286,0,0,27,400,0,0.00171685218811
11,18.4417049885,153.542549854,387.476262917,159,380,0,0,27,400,0,0.000825881958008
12,19.5230908394,549.605345686,337.441896094,547,337,0,0,27,400,0,0.00156211853027
13,20.7285518646,150.394654314,337.441896094,148,337,0,0,27,400,0,0.000880002975464
14,21.9374408722,546.457450146,387.476262917,544,380,0,0,27,400,0,0.00137400627136
15,23.2115206718,159.788696741,288.196601125,159,284,0,0,27,400,0,0.00114321708679
16,24.5983047485,530.965410493,435.155858313,523,433,0,0,27,400,0,0.00180888175964
17,25.7496657372,181.1344149,242.834641004,305,355,1,0,27,400,154.104012312,0.00101590156555
18,27.279599905,504.102648555,477.48479795,495,480,0,0,27,400,0,0.00154590606689
19,28.4851648808,213.090578814,204.206274516,434,436,1,0,27,400,307.201973046,0.000808000564575
20,30.0311338902,467.557050458,511.803398875,465,499,1,0,27,400,0.0562448582803,0.00190901756287
21,31.2683191299,253.64926518,174.738663991,463,503,1,0,27,400,376.336916935,0.000810861587524
22,32.64149189,423.624910537,535.955297178,422,528,0,0,27,400,0,0.00209808349609
23,33.9558842182,300.262022567,156.283367774,422,528,1,0,27,400,378.143694597,0.00111484527588
24,38.0545580387,375.066646713,548.422940263,413,572,1,0,27,400,31.6633746761,0.00130105018616
25,40.5044772625,350.0,150.0,337,152,1,0,27,400,0.152946437966,0.000759840011597
