P34M1,A,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.93107914925,350.0,150.0,358,139,0,0,57,400,0,0.00334978103638
1,3.52799940109,324.933353287,548.422940263,328,548,0,0,57,400,0,0.217259883881
2,4.2044301033,399.737977433,156.283367774,402,147,0,0,57,400,0,0.14511013031
3,4.90738201141,276.375089463,535.955297178,281,546,0,0,57,400,0,0.142893075943
4,5.63288211823,446.35073482,174.738663991,445,169,0,0,57,400,0,0.0230309963226
5,6.36580514908,232.442949542,511.803398875,211,523,0,0,57,400,0,0.0331239700317
6,7.21283102036,486.909421186,204.206274516,476,189,0,0,57,400,0,0.00687503814697
7,7.93181395531,195.897351445,477.48479795,182,481,0,0,57,400,0,0.119048118591
8,8.53831505775,518.8655851,242.834641004,517,238,0,0,57,400,0,0.158942937851
9,9.0953412056,169.034589507,435.155858313,165,425,0,0,57,400,0,0.126931905746
10,9.86832809448,540.211303259,288.196601125,542,280,0,0,57,400,0,0.0149509906769
11,10.6017861366,153.542549854,387.476262917,148,389,0,0,57,400,0,0.160984039307
12,11.3766770363,549.605345686,337.441896094,552,336,0,0,57,400,0,0.00708699226379
13,11.957638979,150.394654314,337.441896094,131,333,0,0,57,400,0,0.15106010437
14,12.6746761799,546.457450146,387.476262917,550,381,0,0,57,400,0,0.16899394989
15,13.263671875,159.788696741,288.196601125,172,289,0,0,57,400,0,0.144442081451
16,13.9507460594,530.965410493,435.155858313,535,435,0,0,57,400,0,0.206934928894
17,15.2482120991,181.1344149,242.834641004,181,249,0,0,57,400,0,0.00689506530762
18,15.9391479492,504.102648555,477.48479795,505,477,0,0,57,400,0,0.195024013519
19,16.5600221157,213.090578814,204.206274516,210,207,0,0,57,400,0,0.161110877991
20,17.2549631596,467.557050458,511.803398875,471,510,0,0,57,400,0,0.167026042938
21,17.8598058224,253.64926518,174.738663991,232,177,0,0,57,400,0,0.135074138641
22,18.6887080669,423.624910537,535.955297178,434,529,0,0,57,400,0,0.203099966049
23,19.2376298904,300.262022567,156.283367774,301,159,0,0,57,400,0,0.159058094025
24,19.9945738316,375.066646713,548.422940263,357,506,1,0,57,400,18.109755844,0.241030931473
25,20.5198810101,350.0,150.0,347,141,0,0,57,400,0,0.208703994751
