P34T3,A,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.17864465714,350.0,150.0,349,166,0,0,57,400,0,0.49936413765
1,3.63487768173,324.933353287,548.422940263,324,563,0,0,57,400,0,0.370718955994
2,5.06288862228,399.737977433,156.283367774,393,156,0,0,57,400,0,0.221789121628
3,6.29385066032,276.375089463,535.955297178,275,548,0,0,57,400,0,0.191617012024
4,7.4153637886,446.35073482,174.738663991,435,192,0,0,57,400,0,0.202759981155
5,8.31422257423,232.442949542,511.803398875,233,501,0,0,57,400,0,0.242370128632
6,9.46810460091,486.909421186,204.206274516,492,189,0,0,57,400,0,0.127305984497
7,10.757651329,195.897351445,477.48479795,212,468,0,0,57,400,0,0.211763143539
8,11.6301553249,518.8655851,242.834641004,515,251,0,0,57,400,0,0.2570271492
9,12.9521481991,169.034589507,435.155858313,174,438,0,0,57,400,0,0.284564971924
10,14.405834198,540.211303259,288.196601125,544,290,0,0,57,400,0,0.193161010742
11,15.71672225,153.542549854,387.476262917,151,389,0,0,57,400,0,0.219058036804
12,17.0416574478,549.605345686,337.441896094,554,340,0,0,57,400,0,0.175938844681
13,18.4274024963,150.394654314,337.441896094,157,350,0,0,57,400,0,0.169484853745
14,19.703943491,546.457450146,387.476262917,542,380,0,0,57,400,0,0.308819055557
15,20.813397646,159.788696741,288.196601125,155,281,0,0,57,400,0,0.219393968582
16,21.9929423332,530.965410493,435.155858313,514,433,0,0,57,400,0,0.289852142334
17,23.2450842857,181.1344149,242.834641004,177,247,0,0,57,400,0,0.251140117645
18,24.5591201782,504.102648555,477.48479795,510,489,0,0,57,400,0,0.259186983109
19,25.9401392937,213.090578814,204.206274516,210,212,0,0,57,400,0,0.235383033752
20,27.1720182896,467.557050458,511.803398875,475,505,0,0,57,400,0,0.175446987152
21,28.5847821236,253.64926518,174.738663991,251,182,0,0,57,400,0,0.250560045242
22,29.7881631851,423.624910537,535.955297178,427,538,0,0,57,400,0,0.162205934525
23,30.9544131756,300.262022567,156.283367774,289,171,0,0,57,400,0,0.28280711174
24,31.9032692909,375.066646713,548.422940263,377,553,0,0,57,400,0,0.241345882416
25,33.174485445,350.0,150.0,346,166,0,0,57,400,0,0.158223867416
