StevenFatigue4,A,2014-08-18

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.210737943649,350.0,150.0,335,118,0,0,133,400,0,0.318048000336
1,0.691395044327,324.933353287,548.422940263,321,602,0,0,133,400,0,0.271055936813
2,1.58199477196,399.737977433,156.283367774,381,110,0,0,133,400,0,0.405641078949
3,2.32060194016,276.375089463,535.955297178,241,523,0,0,133,400,0,0.263396978378
4,2.86524295807,446.35073482,174.738663991,405,162,0,0,133,400,0,0.143301010132
5,3.65972590446,232.442949542,511.803398875,213,556,0,0,133,400,0,0.191519975662
6,4.03633093834,486.909421186,204.206274516,492,161,0,0,133,400,0,0.253426074982
7,5.1423459053,195.897351445,477.48479795,238,476,0,0,133,400,0,0.295449972153
8,5.79087281227,518.8655851,242.834641004,531,285,0,0,133,400,0,0.241847991943
9,6.65899586678,169.034589507,435.155858313,177,499,0,0,133,400,0,0.21746301651
10,7.27337193489,540.211303259,288.196601125,564,330,0,0,133,400,0,0.246073961258
11,7.593957901,153.542549854,387.476262917,184,405,0,0,133,400,0,0.263402938843
12,8.33253788948,549.605345686,337.441896094,559,298,0,0,133,400,0,0.255589962006
13,8.64688801765,150.394654314,337.441896094,197,322,0,0,133,400,0,0.311465024948
14,8.971326828,546.457450146,387.476262917,516,362,0,0,133,400,0,0.215573072433
15,9.18802309036,159.788696741,288.196601125,167,286,0,0,133,400,0,0.253451824188
16,9.42056393623,530.965410493,435.155858313,567,411,0,0,133,400,0,0.175343036652
17,9.58094406128,181.1344149,242.834641004,175,218,0,0,133,400,0,0.253582000732
18,10.1679918766,504.102648555,477.48479795,490,447,0,0,133,400,0,0.543450117111
19,10.522521019,213.090578814,204.206274516,246,201,0,0,133,400,0,0.359375953674
20,11.0290369987,467.557050458,511.803398875,435,494,0,0,133,400,0,0.27956199646
21,11.3355710506,253.64926518,174.738663991,290,133,0,0,133,400,0,0.207510948181
22,11.8881909847,423.624910537,535.955297178,403,582,0,0,133,400,0,0.21532702446
23,12.3147888184,300.262022567,156.283367774,343,183,0,0,133,400,0,0.127421140671
24,12.6617310047,375.066646713,548.422940263,353,566,0,0,133,400,0,0.159349918365
25,13.0861330032,350.0,150.0,353,184,0,0,133,400,0,0.135298967361
