StevenFatigue5,B,2014-08-18

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.562937259674,350.0,150.0,362,161,0,0,58,400,0,0.441857814789
1,1.05493235588,324.933353287,548.422940263,336,552,0,0,58,400,0,0.215260982513
2,1.82477617264,399.737977433,156.283367774,408,155,0,0,58,400,0,0.370171070099
3,2.53719210625,276.375089463,535.955297178,294,536,0,0,58,400,0,0.192528009415
4,3.34374928474,446.35073482,174.738663991,441,179,0,0,58,400,0,0.241565942764
5,4.26623725891,232.442949542,511.803398875,246,523,0,0,58,400,0,0.19145989418
6,4.8426322937,486.909421186,204.206274516,471,215,0,0,58,400,0,0.167464971542
7,5.8170375824,195.897351445,477.48479795,192,461,0,0,58,400,0,0.265646934509
8,6.71571159363,518.8655851,242.834641004,509,250,0,0,58,400,0,0.239449977875
9,7.31861543655,169.034589507,435.155858313,156,438,0,0,58,400,0,0.367084026337
10,8.06120753288,540.211303259,288.196601125,535,297,0,0,58,400,0,0.167522907257
11,8.64990925789,153.542549854,387.476262917,160,390,0,0,58,400,0,0.223167181015
12,9.35461425781,549.605345686,337.441896094,565,341,0,0,58,400,0,0.285341024399
13,10.3211894035,150.394654314,337.441896094,131,343,0,0,58,400,0,0.337702035904
14,11.1233181953,546.457450146,387.476262917,559,368,0,0,58,400,0,0.31152510643
15,11.725908041,159.788696741,288.196601125,162,282,0,0,58,400,0,0.359855175018
16,12.5559449196,530.965410493,435.155858313,541,442,0,0,58,400,0,0.199467182159
17,13.2464168072,181.1344149,242.834641004,190,222,0,0,58,400,0,0.304012060165
18,13.9530878067,504.102648555,477.48479795,497,483,0,0,58,400,0,0.223345041275
19,14.5152037144,213.090578814,204.206274516,224,221,0,0,58,400,0,0.215450048447
20,15.4216835499,467.557050458,511.803398875,459,517,0,0,58,400,0,0.279909133911
21,16.232209444,253.64926518,174.738663991,227,170,0,0,58,400,0,0.395450115204
22,16.8881103992,423.624910537,535.955297178,405,539,0,0,58,400,0,0.42654800415
23,17.5566444397,300.262022567,156.283367774,307,143,0,0,58,400,0,1.70745897293
24,17.989130497,375.066646713,548.422940263,381,561,0,0,58,400,0,0.305496931076
25,18.7115957737,350.0,150.0,343,139,0,0,58,400,0,0.183354854584
