StevenX300Y350jl,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.574940919876,350.0,150.0,343,187,0,0,133,400,0
1,1.56724500656,324.933353287,548.422940263,322,512,0,0,133,400,0
2,2.14296603203,399.737977433,156.283367774,353,146,0,0,133,400,0
3,3.07153701782,276.375089463,535.955297178,284,523,0,0,133,400,0
4,3.75713300705,446.35073482,174.738663991,469,195,0,0,133,400,0
5,4.61058592796,232.442949542,511.803398875,148,493,1,0,133,400,20.5111526713
6,5.53688788414,486.909421186,204.206274516,571,153,1,0,133,400,32.4545986488
7,6.23542094231,195.897351445,477.48479795,181,429,0,0,133,400,0
8,6.84317302704,518.8655851,242.834641004,476,255,0,0,133,400,0
9,7.393460989,169.034589507,435.155858313,179,412,0,0,133,400,0
10,7.98999381065,540.211303259,288.196601125,516,273,0,0,133,400,0
11,8.42502403259,153.542549854,387.476262917,160,392,0,0,133,400,0
12,9.01092386246,549.605345686,337.441896094,537,299,0,0,133,400,0
13,9.55677986145,150.394654314,337.441896094,145,362,0,0,133,400,0
14,10.1259129047,546.457450146,387.476262917,518,355,0,0,133,400,0
15,10.6727879047,159.788696741,288.196601125,121,263,0,0,133,400,0
16,11.4909508228,530.965410493,435.155858313,554,420,0,0,133,400,0
17,12.118407011,181.1344149,242.834641004,220,254,0,0,133,400,0
18,12.7377228737,504.102648555,477.48479795,508,454,0,0,133,400,0
19,13.2848370075,213.090578814,204.206274516,227,253,0,0,133,400,0
20,15.1997318268,467.557050458,511.803398875,532,491,1,0,133,400,1.71761329492
21,15.8839259148,253.64926518,174.738663991,203,212,0,0,133,400,0
22,16.896463871,423.624910537,535.955297178,431,538,0,0,133,400,0
23,17.7475078106,300.262022567,156.283367774,306,178,0,0,133,400,0
24,19.0932729244,375.066646713,548.422940263,462,566,1,0,133,400,22.6925078163
25,19.9093010426,350.0,150.0,341,174,0,0,133,400,0
