StevenX350Y300jl,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.16047406197,350.0,50.0,351,52,0,0,19,600,0
1,2.63828802109,312.400029931,647.634410394,307,651,0,0,19,600,0
2,5.14280200005,424.606966149,59.4250516614,427,60,0,0,19,600,0
3,7.0209839344,239.562634195,628.932945766,244,626,0,0,19,600,0
4,8.15231800079,494.526102231,87.1079959868,494,88,0,0,19,600,0
5,9.52495503426,173.664424312,592.705098312,180,590,0,0,19,600,0
6,10.7090299129,555.364131779,131.309411774,555,132,0,0,19,600,0
7,11.9205880165,118.846027167,541.227196925,121,544,0,0,19,600,0
8,14.2738099098,603.298377651,189.251961506,597,191,0,0,19,600,0
9,15.5238969326,78.5518842602,477.73378747,76,485,0,0,19,600,0
10,17.9529800415,635.316954889,257.294901688,634,257,0,0,19,600,0
11,19.3731560707,55.3138247814,406.214394376,58,398,0,0,19,600,0
12,20.6837670803,649.408018528,331.162844141,646,333,0,0,19,600,0
13,21.9027450085,50.5919814715,331.162844141,51,329,0,0,19,600,0
14,23.1899359226,644.686175219,406.214394376,644,411,0,0,19,600,0
15,24.3725140095,64.6830451115,257.294901688,644,411,1,0,19,600,590.360819097
16,25.7350699902,621.44811574,477.73378747,617,480,0,0,19,600,0
17,26.9521830082,96.7016223494,189.251961506,96,189,0,0,19,600,0
18,28.3477230072,581.153972833,541.227196925,579,539,0,0,19,600,0
19,29.4274570942,144.635868221,131.309411774,142,134,0,0,19,600,0
20,30.9276309013,526.335575688,592.705098312,523,592,0,0,19,600,0
21,31.9089069366,205.473897769,87.1079959868,205,89,0,0,19,600,0
22,33.2393610477,460.437365805,628.932945766,465,623,0,0,19,600,0
23,35.0502800941,275.393033851,59.4250516614,281,58,0,0,19,600,0
24,36.3954970837,387.599970069,647.634410394,385,654,0,0,19,600,0
25,37.4870378971,350.0,50.0,347,51,0,0,19,600,0
