Stevent0k10,B,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.79171705246,350.0,150.0,356,136,0,0,58,400,0,0.000967979431152
1,1.64199495316,324.933353287,548.422940263,309,552,0,0,58,400,0,0.000545978546143
2,2.53165698051,399.737977433,156.283367774,387,156,0,0,58,400,0,0.00178694725037
3,4.53703808784,276.375089463,535.955297178,228,549,1,0,58,400,21.1030293723,0.00137400627136
4,5.32627296448,446.35073482,174.738663991,448,176,0,0,58,400,0,0.00102210044861
5,6.16110992432,232.442949542,511.803398875,234,505,0,0,58,400,0,0.0017249584198
6,6.87029314041,486.909421186,204.206274516,484,204,0,0,58,400,0,0.000865936279297
7,7.61859798431,195.897351445,477.48479795,169,479,0,0,58,400,0,0.00356817245483
8,8.89666366577,518.8655851,242.834641004,556,235,1,0,58,400,8.95189546782,0.00183916091919
9,9.76998591423,169.034589507,435.155858313,168,440,0,0,58,400,0,0.000983953475952
10,10.440060854,540.211303259,288.196601125,535,293,0,0,58,400,0,0.000946044921875
11,11.2298316956,153.542549854,387.476262917,145,394,0,0,58,400,0,0.000952959060669
12,12.0034208298,549.605345686,337.441896094,561,326,0,0,58,400,0,0.00183892250061
13,12.7436289787,150.394654314,337.441896094,162,331,0,0,58,400,0,0.000838994979858
14,14.0033028126,546.457450146,387.476262917,528,363,1,0,58,400,1.65558533565,0.000714063644409
15,14.6650998592,159.788696741,288.196601125,136,287,0,0,58,400,0,0.00100183486938
16,15.5698239803,530.965410493,435.155858313,545,425,0,0,58,400,0,0.00100302696228
17,16.3881840706,181.1344149,242.834641004,162,255,0,0,58,400,0,0.00141596794128
18,17.3315939903,504.102648555,477.48479795,501,471,0,0,58,400,0,0.00110197067261
19,18.0858561993,213.090578814,204.206274516,224,209,0,0,58,400,0,0.00092887878418
20,18.8717031479,467.557050458,511.803398875,488,517,0,0,58,400,0,0.000891923904419
21,19.6163842678,253.64926518,174.738663991,240,152,0,0,58,400,0,0.000918865203857
22,20.8002843857,423.624910537,535.955297178,422,537,0,0,58,400,0,0.00203800201416
23,21.7973263264,300.262022567,156.283367774,282,134,0,0,58,400,0,0.00110292434692
24,22.8337554932,375.066646713,548.422940263,383,568,0,0,58,400,0,0.00160598754883
25,23.7119622231,350.0,150.0,346,162,0,0,58,400,0,0.00110912322998
