scf2,A,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.224188089371,350.0,150.0,373,138,0,0,133,400,0,0.233984947205
1,0.531058073044,324.933353287,548.422940263,341,602,0,0,133,400,0,0.199718952179
2,1.12818098068,399.737977433,156.283367774,365,198,0,0,133,400,0,0.0025269985199
3,1.4987950325,276.375089463,535.955297178,334,514,0,0,133,400,0,0.159364938736
4,1.93888735771,446.35073482,174.738663991,437,205,0,0,133,400,0,0.143695831299
5,2.31133413315,232.442949542,511.803398875,232,541,0,0,133,400,0,0.242304086685
6,2.85721325874,486.909421186,204.206274516,484,263,0,0,133,400,0,0.0642778873444
7,3.27328157425,195.897351445,477.48479795,236,477,0,0,133,400,0,0.215402841568
8,3.73970365524,518.8655851,242.834641004,525,244,0,0,133,400,0,0.167996883392
9,4.05269050598,169.034589507,435.155858313,147,454,0,0,133,400,0,0.224982023239
10,4.64496469498,540.211303259,288.196601125,506,299,0,0,133,400,0,0.151499986649
11,4.95938658714,153.542549854,387.476262917,101,375,0,0,133,400,0,0.213489055634
12,5.34602761269,549.605345686,337.441896094,577,338,0,0,133,400,0,0.189717054367
13,5.74849367142,150.394654314,337.441896094,180,345,0,0,133,400,0,0.191489934921
14,6.0808224678,546.457450146,387.476262917,545,397,0,0,133,400,0,0.229295015335
15,6.32906556129,159.788696741,288.196601125,143,311,0,0,133,400,0,0.205853939056
16,6.62755560875,530.965410493,435.155858313,524,417,0,0,133,400,0,0.155741930008
17,6.87561869621,181.1344149,242.834641004,204,249,0,0,133,400,0,0.191570043564
18,8.05388379097,504.102648555,477.48479795,515,511,0,0,133,400,0,0.151758909225
19,8.32631373405,213.090578814,204.206274516,240,189,0,0,133,400,0,0.1938560009
20,8.66704273224,467.557050458,511.803398875,462,541,0,0,133,400,0,0.159552097321
21,9.37319469452,253.64926518,174.738663991,231,187,0,0,133,400,0,0.111268997192
22,9.89560365677,423.624910537,535.955297178,412,541,0,0,133,400,0,0.184014081955
23,10.3855764866,300.262022567,156.283367774,305,151,0,0,133,400,0,0.207535028458
24,10.7498025894,375.066646713,548.422940263,365,535,0,0,133,400,0,0.208184957504
25,11.0803005695,350.0,150.0,356,150,0,0,133,400,0,0.20933508873
