scf5,C,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.96136713028,350.0,50.0,352,52,0,0,19,600,0,0.277788877487
1,2.70196032524,312.400029931,647.634410394,310,654,0,0,19,600,0,0.00101184844971
2,4.64635038376,424.606966149,59.4250516614,429,57,0,0,19,600,0,0.253252029419
3,5.45644950867,239.562634195,628.932945766,243,629,0,0,19,600,0,0.287745952606
4,6.48341560364,494.526102231,87.1079959868,495,85,0,0,19,600,0,0.199915885925
5,7.52005934715,173.664424312,592.705098312,178,589,0,0,19,600,0,0.239365100861
6,8.42621135712,555.364131779,131.309411774,559,127,0,0,19,600,0,0.31543302536
7,9.0523545742,118.846027167,541.227196925,125,535,0,0,19,600,0,0.303824901581
8,9.87104439735,603.298377651,189.251961506,598,194,0,0,19,600,0,0.183788061142
9,10.8160414696,78.5518842602,477.73378747,84,477,0,0,19,600,0,0.22505402565
10,11.7468473911,635.316954889,257.294901688,634,261,0,0,19,600,0,0.183125972748
11,12.5413606167,55.3138247814,406.214394376,54,405,0,0,19,600,0,0.159493923187
12,13.4079725742,649.408018528,331.162844141,647,334,0,0,19,600,0,0.151428937912
13,14.147128582,50.5919814715,331.162844141,49,330,0,0,19,600,0,0.175244092941
14,14.9737155437,644.686175219,406.214394376,648,412,0,0,19,600,0,0.259397983551
15,16.5224065781,64.6830451115,257.294901688,55,261,1,0,19,600,1.36769579683,0.375300884247
16,17.3548967838,621.44811574,477.73378747,616,482,0,0,19,600,0,0.233425855637
17,18.4535186291,96.7016223494,189.251961506,92,193,0,0,19,600,0,0.245382070541
18,19.4156756401,581.153972833,541.227196925,585,542,0,0,19,600,0,0.143377065659
19,21.7441675663,144.635868221,131.309411774,155,147,1,0,19,600,9.80451505398,0.104056119919
20,22.7548074722,526.335575688,592.705098312,523,593,0,0,19,600,0,0.167318105698
21,24.5822854042,205.473897769,87.1079959868,195,84,1,0,19,600,1.92529970023,0.0725500583649
22,25.6502861977,460.437365805,628.932945766,467,630,0,0,19,600,0,0.00199604034424
23,26.5248162746,275.393033851,59.4250516614,276,64,0,0,19,600,0,0.159482955933
24,27.4954414368,387.599970069,647.634410394,389,650,0,0,19,600,0,0.201424837112
25,28.3060994148,350.0,50.0,355,48,0,0,19,600,0,0.255295991898
