StevenMousejl,B,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.619302034378,350.0,150.0,361,134,0,0,58,400,0
1,1.22731900215,324.933353287,548.422940263,324,560,0,0,58,400,0
2,1.8113629818,399.737977433,156.283367774,405,141,0,0,58,400,0
3,3.00338292122,276.375089463,535.955297178,272,569,1,0,58,400,4.33307355206
4,3.64335489273,446.35073482,174.738663991,456,186,0,0,58,400,0
5,4.28292989731,232.442949542,511.803398875,231,512,0,0,58,400,0
6,4.87484192848,486.909421186,204.206274516,474,205,0,0,58,400,0
7,5.37881493568,195.897351445,477.48479795,192,465,0,0,58,400,0
8,5.93121886253,518.8655851,242.834641004,514,237,0,0,58,400,0
9,6.86732292175,169.034589507,435.155858313,137,456,1,0,58,400,9.2190157845
10,7.47533202171,540.211303259,288.196601125,533,286,0,0,58,400,0
11,7.9472618103,153.542549854,387.476262917,162,377,0,0,58,400,0
12,8.46729588509,549.605345686,337.441896094,553,321,0,0,58,400,0
13,8.99527382851,150.394654314,337.441896094,169,334,0,0,58,400,0
14,9.54733896255,546.457450146,387.476262917,555,373,0,0,58,400,0
15,10.1233170033,159.788696741,288.196601125,180,285,0,0,58,400,0
16,10.6988728046,530.965410493,435.155858313,515,422,0,0,58,400,0
17,11.1873219013,181.1344149,242.834641004,194,251,0,0,58,400,0
18,11.6912369728,504.102648555,477.48479795,494,496,0,0,58,400,0
19,12.291672945,213.090578814,204.206274516,229,217,0,0,58,400,0
20,12.8913140297,467.557050458,511.803398875,458,516,0,0,58,400,0
21,13.3631839752,253.64926518,174.738663991,259,183,0,0,58,400,0
22,14.1316769123,423.624910537,535.955297178,427,536,0,0,58,400,0
23,14.8276288509,300.262022567,156.283367774,280,140,0,0,58,400,0
24,15.3632910252,375.066646713,548.422940263,388,568,0,0,58,400,0
25,15.8673198223,350.0,150.0,348,156,0,0,58,400,0
