StevenX250Y300jl,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.52669596672,350.0,50.0,347,57,0,0,19,600,0
1,4.79885387421,312.400029931,647.634410394,324,653,1,0,19,600,3.78080034367
2,6.67220592499,424.606966149,59.4250516614,429,60,0,0,19,600,0
3,8.30278706551,239.562634195,628.932945766,238,633,0,0,19,600,0
4,9.86052298546,494.526102231,87.1079959868,488,84,0,0,19,600,0
5,12.0248959064,173.664424312,592.705098312,190,592,1,0,19,600,7.35078581232
6,13.8147070408,555.364131779,131.309411774,561,137,0,0,19,600,0
7,15.4409110546,118.846027167,541.227196925,123,541,0,0,19,600,0
8,16.6411788464,603.298377651,189.251961506,605,190,0,0,19,600,0
9,18.1229720116,78.5518842602,477.73378747,82,475,0,0,19,600,0
10,20.6531770229,635.316954889,257.294901688,615,262,1,0,19,600,11.8546543024
11,24.0933120251,55.3138247814,406.214394376,65,408,1,0,19,600,0.849384641236
12,25.4642708302,649.408018528,331.162844141,641,329,0,0,19,600,0
13,26.9097058773,50.5919814715,331.162844141,50,329,0,0,19,600,0
14,28.1308629513,644.686175219,406.214394376,652,401,0,0,19,600,0
15,30.393362999,64.6830451115,257.294901688,64,247,1,0,19,600,1.31753610994
16,33.7886610031,621.44811574,477.73378747,613,474,1,0,19,600,0.236440246151
17,36.1220488548,96.7016223494,189.251961506,96,185,0,0,19,600,0
18,39.8554358482,581.153972833,541.227196925,574,535,1,0,19,600,0.484582691366
19,42.7503590584,144.635868221,131.309411774,165,129,1,0,19,600,11.4946638381
20,44.994784832,526.335575688,592.705098312,517,585,1,0,19,600,3.10460711575
21,46.9048418999,205.473897769,87.1079959868,211,92,0,0,19,600,0
22,48.8924310207,460.437365805,628.932945766,468,628,0,0,19,600,0
23,50.5499739647,275.393033851,59.4250516614,268,63,0,0,19,600,0
24,52.2104799747,387.599970069,647.634410394,386,645,0,0,19,600,0
25,54.1149139404,350.0,50.0,347,52,0,0,19,600,0
