StevenX300Y150jl,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.23171710968,350.0,150.0,341,178,0,0,133,400,0
1,2.31661915779,324.933353287,548.422940263,341,661,1,0,133,400,47.7177713273
2,2.94723916054,399.737977433,156.283367774,385,102,0,0,133,400,0
3,3.7977001667,276.375089463,535.955297178,286,559,0,0,133,400,0
4,4.58589100838,446.35073482,174.738663991,440,201,0,0,133,400,0
5,5.46000003815,232.442949542,511.803398875,247,548,0,0,133,400,0
6,7.24790501595,486.909421186,204.206274516,464,227,0,0,133,400,0
7,8.08539605141,195.897351445,477.48479795,209,473,0,0,133,400,0
8,8.82371616364,518.8655851,242.834641004,532,211,0,0,133,400,0
9,9.59333515167,169.034589507,435.155858313,174,452,0,0,133,400,0
10,10.294159174,540.211303259,288.196601125,553,308,0,0,133,400,0
11,11.073289156,153.542549854,387.476262917,139,429,0,0,133,400,0
12,11.8419191837,549.605345686,337.441896094,554,349,0,0,133,400,0
13,12.5284700394,150.394654314,337.441896094,164,313,0,0,133,400,0
14,13.1519491673,546.457450146,387.476262917,575,390,0,0,133,400,0
15,13.9508581161,159.788696741,288.196601125,185,266,0,0,133,400,0
16,14.727189064,530.965410493,435.155858313,535,489,0,0,133,400,0
17,15.4496850967,181.1344149,242.834641004,131,275,0,0,133,400,0
18,16.3404090405,504.102648555,477.48479795,472,486,0,0,133,400,0
19,17.1201291084,213.090578814,204.206274516,211,172,0,0,133,400,0
20,17.9187660217,467.557050458,511.803398875,470,524,0,0,133,400,0
21,18.6242711544,253.64926518,174.738663991,217,160,0,0,133,400,0
22,19.3622510433,423.624910537,535.955297178,460,563,0,0,133,400,0
23,21.3681631088,300.262022567,156.283367774,246,104,1,0,133,400,9.35195842767
24,22.3113651276,375.066646713,548.422940263,365,593,0,0,133,400,0
25,22.9761571884,350.0,150.0,319,153,0,0,133,400,0
