StevenX350Y250,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.489855051041,350.0,150.0,374,172,0,0,133,400,0
1,1.4583761692,324.933353287,548.422940263,325,532,0,0,133,400,0
2,2.1580491066,399.737977433,156.283367774,398,153,0,0,133,400,0
3,2.97298502922,276.375089463,535.955297178,246,511,0,0,133,400,0
4,3.69598817825,446.35073482,174.738663991,436,168,0,0,133,400,0
5,4.3626999855,232.442949542,511.803398875,236,472,0,0,133,400,0
6,5.03946614265,486.909421186,204.206274516,504,213,0,0,133,400,0
7,5.716807127,195.897351445,477.48479795,193,458,0,0,133,400,0
8,6.40653514862,518.8655851,242.834641004,540,245,0,0,133,400,0
9,7.05393600464,169.034589507,435.155858313,167,430,0,0,133,400,0
10,7.68896818161,540.211303259,288.196601125,535,291,0,0,133,400,0
11,8.31085014343,153.542549854,387.476262917,129,384,0,0,133,400,0
12,8.89999508858,549.605345686,337.441896094,550,327,0,0,133,400,0
13,9.54111909866,150.394654314,337.441896094,144,344,0,0,133,400,0
14,12.0890359879,546.457450146,387.476262917,531,343,0,0,133,400,0
15,13.0298690796,159.788696741,288.196601125,163,300,0,0,133,400,0
16,13.8314170837,530.965410493,435.155858313,533,418,0,0,133,400,0
17,14.637606144,181.1344149,242.834641004,155,237,0,0,133,400,0
18,15.3055171967,504.102648555,477.48479795,484,457,0,0,133,400,0
19,16.0516431332,213.090578814,204.206274516,213,212,0,0,133,400,0
20,16.697936058,467.557050458,511.803398875,444,487,0,0,133,400,0
21,17.4465191364,253.64926518,174.738663991,256,179,0,0,133,400,0
22,18.1717531681,423.624910537,535.955297178,405,503,0,0,133,400,0
23,18.8411941528,300.262022567,156.283367774,292,167,0,0,133,400,0
24,19.5505080223,375.066646713,548.422940263,369,496,0,0,133,400,0
25,20.3668091297,350.0,150.0,351,183,0,0,133,400,0
