StevenX350Y250,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.98393893242,350.0,50.0,349,51,0,0,19,600,0
1,5.2325360775,312.400029931,647.634410394,320,642,1,0,19,600,0.460767703839
2,8.0265879631,424.606966149,59.4250516614,414,65,1,0,19,600,2.98281185172
3,9.77742099762,239.562634195,628.932945766,246,626,0,0,19,600,0
4,11.7705099583,494.526102231,87.1079959868,493,88,0,0,19,600,0
5,13.304749012,173.664424312,592.705098312,174,595,0,0,19,600,0
6,15.658643961,555.364131779,131.309411774,550,132,0,0,19,600,0
7,17.3754749298,118.846027167,541.227196925,123,549,0,0,19,600,0
8,18.5170350075,603.298377651,189.251961506,611,189,0,0,19,600,0
9,20.5263159275,78.5518842602,477.73378747,88,478,1,0,19,600,0.451865431974
10,23.0252671242,635.316954889,257.294901688,634,258,0,0,19,600,0
11,24.3971381187,55.3138247814,406.214394376,55,405,0,0,19,600,0
12,26.3189570904,649.408018528,331.162844141,648,331,0,0,19,600,0
13,27.9614951611,50.5919814715,331.162844141,54,331,0,0,19,600,0
14,29.9420211315,644.686175219,406.214394376,639,405,0,0,19,600,0
15,31.3965060711,64.6830451115,257.294901688,61,257,0,0,19,600,0
16,32.6986911297,621.44811574,477.73378747,621,478,0,0,19,600,0
17,33.9087440968,96.7016223494,189.251961506,95,184,0,0,19,600,0
18,35.6409111023,581.153972833,541.227196925,581,539,0,0,19,600,0
19,37.5909450054,144.635868221,131.309411774,147,132,0,0,19,600,0
20,39.433191061,526.335575688,592.705098312,520,592,0,0,19,600,0
21,40.8879470825,205.473897769,87.1079959868,213,88,0,0,19,600,0
22,42.9396469593,460.437365805,628.932945766,463,629,0,0,19,600,0
23,44.6000051498,275.393033851,59.4250516614,277,64,0,0,19,600,0
24,46.0237519741,387.599970069,647.634410394,388,643,0,0,19,600,0
25,47.6855299473,350.0,50.0,354,55,0,0,19,600,0
