Stevent3k7,A,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.16711306572,350.0,150.0,341,153,0,0,133,400,0,0.0022349357605
1,2.24117207527,324.933353287,548.422940263,301,523,0,0,133,400,0,0.000699996948242
2,3.0919919014,399.737977433,156.283367774,428,162,0,0,133,400,0,0.00395512580872
3,3.95633482933,276.375089463,535.955297178,289,556,0,0,133,400,0,0.000734090805054
4,4.64288067818,446.35073482,174.738663991,456,212,0,0,133,400,0,0.00115203857422
5,5.44822978973,232.442949542,511.803398875,206,508,0,0,133,400,0,0.00176095962524
6,6.86285662651,486.909421186,204.206274516,506,232,0,0,133,400,0,0.000890016555786
7,7.68650960922,195.897351445,477.48479795,178,457,0,0,133,400,0,0.00177001953125
8,8.46847081184,518.8655851,242.834641004,503,235,0,0,133,400,0,0.0022280216217
9,9.32982158661,169.034589507,435.155858313,164,421,0,0,133,400,0,0.00126218795776
10,10.239802599,540.211303259,288.196601125,547,308,0,0,133,400,0,0.00143098831177
11,11.0609214306,153.542549854,387.476262917,199,372,0,0,133,400,0,0.00112700462341
12,11.7963964939,549.605345686,337.441896094,538,328,0,0,133,400,0,0.00196814537048
13,12.652721405,150.394654314,337.441896094,190,355,0,0,133,400,0,0.000316858291626
14,14.0567502975,546.457450146,387.476262917,548,347,0,0,133,400,0,0.0019371509552
15,15.1258611679,159.788696741,288.196601125,184,289,0,0,133,400,0,0.00125813484192
16,16.319201231,530.965410493,435.155858313,532,450,0,0,133,400,0,0.000394105911255
17,17.1497690678,181.1344149,242.834641004,219,260,0,0,133,400,0,0.00257611274719
18,18.2140419483,504.102648555,477.48479795,536,483,0,0,133,400,0,0.000651121139526
19,19.0421378613,213.090578814,204.206274516,225,221,0,0,133,400,0,0.000339984893799
20,19.9908688068,467.557050458,511.803398875,430,533,0,0,133,400,0,0.000455141067505
21,20.7992517948,253.64926518,174.738663991,241,191,0,0,133,400,0,0.000829935073853
22,21.6970579624,423.624910537,535.955297178,417,521,0,0,133,400,0,0.00125193595886
23,22.4525778294,300.262022567,156.283367774,285,152,0,0,133,400,0,0.00106811523438
24,23.5316178799,375.066646713,548.422940263,351,517,0,0,133,400,0,0.000391960144043
25,24.4124877453,350.0,150.0,358,169,0,0,133,400,0,0.000729084014893
