Stevent5k5,C,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.85114002228,350.0,50.0,347,54,0,0,19,600,0,0.00124001502991
1,3.51954913139,312.400029931,647.634410394,307,650,0,0,19,600,0,0.00139594078064
2,4.84432387352,424.606966149,59.4250516614,421,54,0,0,19,600,0,0.000860214233398
3,6.23575305939,239.562634195,628.932945766,242,625,0,0,19,600,0,0.00239086151123
4,8.40040183067,494.526102231,87.1079959868,489,85,0,0,19,600,0,0.00109720230103
5,10.3969738483,173.664424312,592.705098312,169,598,0,0,19,600,0,0.0025908946991
6,12.4340381622,555.364131779,131.309411774,558,133,0,0,19,600,0,0.000486850738525
7,13.7835760117,118.846027167,541.227196925,114,540,0,0,19,600,0,0.00126314163208
8,15.8017339706,603.298377651,189.251961506,599,189,0,0,19,600,0,0.00190806388855
9,17.1340658665,78.5518842602,477.73378747,73,479,0,0,19,600,0,0.00120997428894
10,18.4430408478,635.316954889,257.294901688,632,260,0,0,19,600,0,0.000977039337158
11,19.7494149208,55.3138247814,406.214394376,51,407,0,0,19,600,0,0.00196099281311
12,22.2901468277,649.408018528,331.162844141,640,331,1,0,19,600,0.409427764034,0.000427007675171
13,24.4791238308,50.5919814715,331.162844141,42,334,1,0,19,600,0.0482925999333,0.00131797790527
14,25.8625779152,644.686175219,406.214394376,642,400,0,0,19,600,0,0.000998973846436
15,27.2298309803,64.6830451115,257.294901688,69,258,0,0,19,600,0,0.0013439655304
16,29.8347427845,621.44811574,477.73378747,611,479,1,0,19,600,1.52456254125,0.00184512138367
17,31.4782578945,96.7016223494,189.251961506,100,187,0,0,19,600,0,0.00100708007812
18,33.0716457367,581.153972833,541.227196925,577,542,0,0,19,600,0,0.00103712081909
19,34.3811705112,144.635868221,131.309411774,141,134,0,0,19,600,0,0.00112414360046
20,36.2527356148,526.335575688,592.705098312,527,589,0,0,19,600,0,0.00103688240051
21,37.6242194176,205.473897769,87.1079959868,207,85,0,0,19,600,0,0.00160717964172
22,40.129386425,460.437365805,628.932945766,459,629,0,0,19,600,0,0.00176000595093
23,41.7143614292,275.393033851,59.4250516614,271,58,0,0,19,600,0,0.00115990638733
24,43.3144094944,387.599970069,647.634410394,387,647,0,0,19,600,0,0.000910043716431
25,45.3441765308,350.0,50.0,349,54,0,0,19,600,0,0.000988006591797
