X250Y250,C,2014-08-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width, distance, errorMargin
0,5.7867641449,350.0,50.0,350,62,1,0,19,600,3.0
1,9.19866514206,312.400029931,647.634410394,388,610,1,0,19,600,75.4494187085
2,11.2117841244,424.606966149,59.4250516614,428,55,0,0,19,600,0
3,12.9191491604,239.562634195,628.932945766,241,634,0,0,19,600,0
4,15.9821281433,494.526102231,87.1079959868,489,86,0,0,19,600,0
5,17.6852390766,173.664424312,592.705098312,180,590,0,0,19,600,0
6,19.7478661537,555.364131779,131.309411774,166,592,1,0,19,600,594.191715126
7,22.4371020794,118.846027167,541.227196925,139,545,1,0,19,600,11.5040645724
8,24.6276941299,603.298377651,189.251961506,597,192,0,0,19,600,0
9,27.2199809551,78.5518842602,477.73378747,81,480,0,0,19,600,0
10,29.8260099888,635.316954889,257.294901688,632,245,1,0,19,600,3.73447278996
11,31.9027500153,55.3138247814,406.214394376,52,406,0,0,19,600,0
12,33.9635550976,649.408018528,331.162844141,652,334,0,0,19,600,0
13,37.8517100811,50.5919814715,331.162844141,64,331,1,0,19,600,4.40900738587
14,42.2650940418,644.686175219,406.214394376,52,325,1,0,19,600,589.224606773
15,44.92177701,64.6830451115,257.294901688,56,256,0,0,19,600,0
16,47.995980978,621.44811574,477.73378747,620,478,0,0,19,600,0
17,53.346788168,96.7016223494,189.251961506,85,198,1,0,19,600,5.61013836673
18,55.5613310337,581.153972833,541.227196925,580,545,0,0,19,600,0
19,57.7860381603,144.635868221,131.309411774,141,133,0,0,19,600,0
20,63.4328830242,526.335575688,592.705098312,536,592,1,0,19,600,0.690111501816
21,66.0602650642,205.473897769,87.1079959868,200,89,0,0,19,600,0
22,67.8945331573,460.437365805,628.932945766,459,625,0,0,19,600,0
23,69.9975411892,275.393033851,59.4250516614,272,59,0,0,19,600,0
24,71.8525249958,387.599970069,647.634410394,396,647,0,0,19,600,0
25,73.789714098,350.0,50.0,346,53,0,0,19,600,0
