X350Y250,A,2014-08-06

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, condition (W&D), errorMargin
0,0.731253147125,350.0,150.0,347,206,0,0,133,400,0
1,2.88622713089,324.933353287,548.422940263,328,518,0,0,133,400,0
2,4.15620613098,399.737977433,156.283367774,371,166,0,0,133,400,0
3,5.19283795357,276.375089463,535.955297178,257,519,0,0,133,400,0
4,6.3317220211,446.35073482,174.738663991,465,181,0,0,133,400,0
5,7.24885201454,232.442949542,511.803398875,227,511,0,0,133,400,0
6,8.27527403831,486.909421186,204.206274516,478,230,0,0,133,400,0
7,9.2751750946,195.897351445,477.48479795,201,457,0,0,133,400,0
8,10.270250082,518.8655851,242.834641004,548,245,0,0,133,400,0
9,11.1986370087,169.034589507,435.155858313,160,449,0,0,133,400,0
10,12.1164801121,540.211303259,288.196601125,558,292,0,0,133,400,0
11,12.9971179962,153.542549854,387.476262917,129,395,0,0,133,400,0
12,13.8201780319,549.605345686,337.441896094,604,342,0,0,133,400,0
13,14.7625889778,150.394654314,337.441896094,126,353,0,0,133,400,0
14,15.6265521049,546.457450146,387.476262917,533,373,0,0,133,400,0
15,16.5616841316,159.788696741,288.196601125,119,323,0,0,133,400,0
16,17.2773940563,530.965410493,435.155858313,531,405,0,0,133,400,0
17,18.3503921032,181.1344149,242.834641004,535,406,1,0,133,400,323.671382956
18,19.4357590675,504.102648555,477.48479795,491,440,0,0,133,400,0
19,20.3735649586,213.090578814,204.206274516,220,240,0,0,133,400,0
20,21.261149168,467.557050458,511.803398875,474,465,0,0,133,400,0
21,22.1656391621,253.64926518,174.738663991,274,203,0,0,133,400,0
22,23.0219330788,423.624910537,535.955297178,451,505,0,0,133,400,0
23,24.0769751072,300.262022567,156.283367774,317,202,0,0,133,400,0
24,24.9888579845,375.066646713,548.422940263,374,530,0,0,133,400,0
25,25.9164459705,350.0,150.0,338,176,0,0,133,400,0
