ZhenA85B20SqrtOffT2,C,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.983047962189,350.0,50.0,353,46,0,0,19,600,0,0.00100898742676
1,2.24508500099,312.400029931,647.634410394,310,641,0,0,19,600,0,0.0031590461731
2,3.41465497017,424.606966149,59.4250516614,424,66,0,0,19,600,0,0.000424146652222
3,4.52220892906,239.562634195,628.932945766,424,68,1,0,19,600,581.476850987,0.000797986984253
4,6.09261703491,494.526102231,87.1079959868,498,75,1,0,19,600,3.59648889692,0.00167393684387
5,7.39699006081,173.664424312,592.705098312,174,588,0,0,19,600,0,0.0026478767395
6,8.71011900902,555.364131779,131.309411774,555,140,0,0,19,600,0,0.00100302696228
7,10.3278448582,118.846027167,541.227196925,560,116,1,0,19,600,603.727506115,0.000395059585571
8,11.4351541996,603.298377651,189.251961506,601,195,0,0,19,600,0,0.00301885604858
9,12.7446939945,78.5518842602,477.73378747,85,477,0,0,19,600,0,0.0035560131073
10,14.08664608,635.316954889,257.294901688,638,251,0,0,19,600,0,0.00161194801331
11,15.3373160362,55.3138247814,406.214394376,59,407,0,0,19,600,0,0.00203108787537
12,17.2688879967,649.408018528,331.162844141,629,330,1,0,19,600,11.441120976,0.000427007675171
13,18.9975540638,50.5919814715,331.162844141,53,338,0,0,19,600,0,0.000447988510132
14,21.3046689034,644.686175219,406.214394376,642,402,0,0,19,600,0,0.00133919715881
15,22.5511868,64.6830451115,257.294901688,63,255,0,0,19,600,0,0.000478029251099
16,25.4680168629,621.44811574,477.73378747,624,481,0,0,19,600,0,0.000838994979858
17,27.1955518723,96.7016223494,189.251961506,91,195,0,0,19,600,0,0.00121593475342
18,28.4929449558,581.153972833,541.227196925,574,541,0,0,19,600,0,0.00199699401855
19,29.8131330013,144.635868221,131.309411774,141,132,0,0,19,600,0,0.00181698799133
20,32.1439099312,526.335575688,592.705098312,527,592,0,0,19,600,0,0.00115895271301
21,33.6554441452,205.473897769,87.1079959868,205,89,0,0,19,600,0,0.00368189811707
22,36.5297842026,460.437365805,628.932945766,474,628,1,0,19,600,4.59468403824,0.00176095962524
23,39.5103240013,275.393033851,59.4250516614,266,54,1,0,19,600,1.84713189956,0.000462055206299
24,41.3190200329,387.599970069,647.634410394,393,642,0,0,19,600,0,0.0012481212616
25,43.3894708157,350.0,50.0,347,48,0,0,19,600,0,0.000411033630371
