ZhenA85B20SqrtT1,B,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.564690113068,350.0,150.0,358,157,0,0,58,400,0,0.00436687469482
1,1.3685863018,324.933353287,548.422940263,332,527,0,0,58,400,0,0.00134491920471
2,2.25000810623,399.737977433,156.283367774,386,146,0,0,58,400,0,0.000949144363403
3,3.03237915039,276.375089463,535.955297178,291,529,0,0,58,400,0,0.00029993057251
4,3.78988218307,446.35073482,174.738663991,415,218,1,0,58,400,24.4266952659,0.000282049179077
5,6.04536914825,232.442949542,511.803398875,229,544,1,0,58,400,3.38016407538,0.00322890281677
6,6.75207233429,486.909421186,204.206274516,484,192,0,0,58,400,0,0.000953912734985
7,7.47043323517,195.897351445,477.48479795,181,485,0,0,58,400,0,0.0014340877533
8,8.18707633018,518.8655851,242.834641004,534,237,0,0,58,400,0,0.00203800201416
9,9.11367344856,169.034589507,435.155858313,143,466,1,0,58,400,11.362865696,0.00113987922668
10,9.9421813488,540.211303259,288.196601125,532,264,0,0,58,400,0,0.00117802619934
11,10.7937142849,153.542549854,387.476262917,173,369,0,0,58,400,0,0.00101613998413
12,11.5468511581,549.605345686,337.441896094,522,343,0,0,58,400,0,0.00126194953918
13,12.3212532997,150.394654314,337.441896094,152,344,0,0,58,400,0,0.000818014144897
14,13.0221652985,546.457450146,387.476262917,555,379,0,0,58,400,0,0.00144195556641
15,13.7411682606,159.788696741,288.196601125,178,282,0,0,58,400,0,0.00116014480591
16,14.5520362854,530.965410493,435.155858313,519,430,0,0,58,400,0,0.000342845916748
17,15.2716581821,181.1344149,242.834641004,177,240,0,0,58,400,0,0.00289607048035
18,16.0359163284,504.102648555,477.48479795,500,489,0,0,58,400,0,0.00167679786682
19,16.8152103424,213.090578814,204.206274516,232,220,0,0,58,400,0,0.00136208534241
20,17.5260932446,467.557050458,511.803398875,485,519,0,0,58,400,0,0.0022439956665
21,18.2181322575,253.64926518,174.738663991,273,173,0,0,58,400,0,0.00140404701233
22,19.0826423168,423.624910537,535.955297178,432,534,0,0,58,400,0,0.000895023345947
23,20.2448604107,300.262022567,156.283367774,309,193,1,0,58,400,8.7420631606,0.00128698348999
24,21.2585303783,375.066646713,548.422940263,382,545,0,0,58,400,0,0.000404834747314
25,21.922504425,350.0,150.0,347,132,0,0,58,400,0,0.000983953475952
