ZhenA85B20T1,A,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.560101985931,350.0,150.0,375,175,0,0,133,400,0,0.012403011322
1,1.28217196465,324.933353287,548.422940263,310,503,0,0,133,400,0,0.00275111198425
2,2.12640190125,399.737977433,156.283367774,415,169,0,0,133,400,0,0.000962018966675
3,2.72479462624,276.375089463,535.955297178,294,519,0,0,133,400,0,0.00225114822388
4,3.21635460854,446.35073482,174.738663991,423,189,0,0,133,400,0,0.000432014465332
5,3.79485559464,232.442949542,511.803398875,251,508,0,0,133,400,0,0.00208306312561
6,4.29168558121,486.909421186,204.206274516,454,214,0,0,133,400,0,0.000560998916626
7,4.81481051445,195.897351445,477.48479795,187,514,0,0,133,400,0,0.0019690990448
8,5.32153534889,518.8655851,242.834641004,488,246,0,0,133,400,0,0.00205206871033
9,5.84767532349,169.034589507,435.155858313,180,467,0,0,133,400,0,0.000396013259888
10,6.38277935982,540.211303259,288.196601125,575,238,0,0,133,400,0,0.000370025634766
11,7.01614928246,153.542549854,387.476262917,129,420,0,0,133,400,0,0.00152802467346
12,7.58010745049,549.605345686,337.441896094,539,299,0,0,133,400,0,0.000402927398682
13,8.06953144073,150.394654314,337.441896094,185,336,0,0,133,400,0,0.00186800956726
14,8.64255261421,546.457450146,387.476262917,553,354,0,0,133,400,0,0.000834941864014
15,9.130610466,159.788696741,288.196601125,180,309,0,0,133,400,0,0.00138306617737
16,9.74350857735,530.965410493,435.155858313,474,454,0,0,133,400,0,0.0023889541626
17,10.3764605522,181.1344149,242.834641004,186,286,0,0,133,400,0,0.000375032424927
18,11.2842144966,504.102648555,477.48479795,543,406,1,0,133,400,15.382309425,0.00095796585083
19,12.0240933895,213.090578814,204.206274516,240,196,0,0,133,400,0,0.000339031219482
20,12.6198365688,467.557050458,511.803398875,410,523,0,0,133,400,0,0.000554800033569
21,13.3771147728,253.64926518,174.738663991,244,206,0,0,133,400,0,0.00156998634338
22,15.2951338291,423.624910537,535.955297178,464,482,1,0,133,400,1.38933107458,0.00208783149719
23,15.8950107098,300.262022567,156.283367774,314,164,0,0,133,400,0,0.000472068786621
24,16.4509546757,375.066646713,548.422940263,405,556,0,0,133,400,0,0.000447034835815
25,17.1551668644,350.0,150.0,370,170,0,0,133,400,0,0.000423908233643
