X250Y250,B,2014-08-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width, distance, errorMargin
0,1.73537993431,350.0,150.0,308,147,1,0,58,400,13.1070065429
1,3.32487392426,324.933353287,548.422940263,323,539,0,0,58,400,0
2,4.33848595619,399.737977433,156.283367774,388,163,0,0,58,400,0
3,5.4247610569,276.375089463,535.955297178,273,551,0,0,58,400,0
4,6.66301989555,446.35073482,174.738663991,426,179,0,0,58,400,0
5,7.75606894493,232.442949542,511.803398875,212,518,0,0,58,400,0
6,9.24353289604,486.909421186,204.206274516,508,206,0,0,58,400,0
7,10.3852820396,195.897351445,477.48479795,199,473,0,0,58,400,0
8,11.5637040138,518.8655851,242.834641004,494,250,0,0,58,400,0
9,12.7434010506,169.034589507,435.155858313,180,433,0,0,58,400,0
10,14.2255649567,540.211303259,288.196601125,547,291,0,0,58,400,0
11,15.2202839851,153.542549854,387.476262917,132,394,0,0,58,400,0
12,16.5088129044,549.605345686,337.441896094,569,340,0,0,58,400,0
13,17.6797740459,150.394654314,337.441896094,150,345,0,0,58,400,0
14,18.9139430523,546.457450146,387.476262917,548,387,0,0,58,400,0
15,20.1332859993,159.788696741,288.196601125,162,300,0,0,58,400,0
16,21.2773659229,530.965410493,435.155858313,540,430,0,0,58,400,0
17,22.6595699787,181.1344149,242.834641004,189,249,0,0,58,400,0
18,23.9088730812,504.102648555,477.48479795,504,471,0,0,58,400,0
19,25.0850660801,213.090578814,204.206274516,216,215,0,0,58,400,0
20,26.3634369373,467.557050458,511.803398875,463,512,0,0,58,400,0
21,27.4716849327,253.64926518,174.738663991,250,178,0,0,58,400,0
22,28.6881239414,423.624910537,535.955297178,424,532,0,0,58,400,0
23,30.4393219948,300.262022567,156.283367774,274,137,1,0,58,400,3.58131522866
24,31.7295658588,375.066646713,548.422940263,385,545,0,0,58,400,0
25,33.0268199444,350.0,150.0,346,160,0,0,58,400,0
