X250Y300,C,2014-08-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width, distance, errorMargin
0,3.01152586937,350.0,50.0,357,51,0,0,19,600,0
1,5.15332198143,312.400029931,647.634410394,316,648,0,0,19,600,0
2,6.80894494057,424.606966149,59.4250516614,427,65,0,0,19,600,0
3,9.00588989258,239.562634195,628.932945766,244,631,0,0,19,600,0
4,11.1433169842,494.526102231,87.1079959868,498,90,0,0,19,600,0
5,13.1259829998,173.664424312,592.705098312,181,594,0,0,19,600,0
6,15.1088900566,555.364131779,131.309411774,554,137,0,0,19,600,0
7,17.037858963,118.846027167,541.227196925,126,536,0,0,19,600,0
8,19.1622989178,603.298377651,189.251961506,606,191,0,0,19,600,0
9,20.7261240482,78.5518842602,477.73378747,76,475,0,0,19,600,0
10,23.9306690693,635.316954889,257.294901688,642,265,1,0,19,600,1.19958979404
11,27.7561020851,55.3138247814,406.214394376,60,414,1,1,19,600,0.0871278804881
12,29.7786839008,649.408018528,331.162844141,648,331,0,0,19,600,0
13,32.9275119305,50.5919814715,331.162844141,60,335,1,0,19,600,1.16044180717
14,34.7028870583,644.686175219,406.214394376,652,406,0,0,19,600,0
15,36.9277129173,64.6830451115,257.294901688,64,257,0,0,19,600,0
16,41.4529900551,621.44811574,477.73378747,623,479,0,0,19,600,0
17,44.7851860523,96.7016223494,189.251961506,100,188,0,0,19,600,0
18,48.6756169796,581.153972833,541.227196925,592,533,1,0,19,600,4.61334178478
19,51.3346428871,144.635868221,131.309411774,138,136,0,0,19,600,0
20,53.2974040508,526.335575688,592.705098312,527,597,0,0,19,600,0
21,55.3338229656,205.473897769,87.1079959868,205,81,0,0,19,600,0
22,58.8350410461,460.437365805,628.932945766,452,628,0,0,19,600,0
23,60.6039669514,275.393033851,59.4250516614,275,52,0,0,19,600,0
24,62.77622509,387.599970069,647.634410394,390,653,0,0,19,600,0
25,64.9643130302,350.0,50.0,349,49,0,0,19,600,0
