ZhenX200Y200,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.727169036865,350.0,150.0,383,129,0,0,133,400,0
1,1.77121019363,324.933353287,548.422940263,353,562,0,0,133,400,0
2,2.62951517105,399.737977433,156.283367774,386,199,0,0,133,400,0
3,3.39144301414,276.375089463,535.955297178,261,542,0,0,133,400,0
4,4.12706708908,446.35073482,174.738663991,453,209,0,0,133,400,0
5,4.8160610199,232.442949542,511.803398875,224,506,0,0,133,400,0
6,5.44632506371,486.909421186,204.206274516,519,217,0,0,133,400,0
7,6.11477899551,195.897351445,477.48479795,218,454,0,0,133,400,0
8,6.67861914635,518.8655851,242.834641004,562,259,0,0,133,400,0
9,7.35694408417,169.034589507,435.155858313,210,436,0,0,133,400,0
10,7.91150808334,540.211303259,288.196601125,526,285,0,0,133,400,0
11,8.87065601349,153.542549854,387.476262917,78,447,1,0,133,400,30.1756316059
12,9.59508299828,549.605345686,337.441896094,537,317,0,0,133,400,0
13,10.3142859936,150.394654314,337.441896094,111,351,0,0,133,400,0
14,11.056907177,546.457450146,387.476262917,563,375,0,0,133,400,0
15,11.6907880306,159.788696741,288.196601125,145,304,0,0,133,400,0
16,12.4322490692,530.965410493,435.155858313,484,436,0,0,133,400,0
17,13.2211260796,181.1344149,242.834641004,186,259,0,0,133,400,0
18,14.3428010941,504.102648555,477.48479795,592,448,1,0,133,400,26.7108283921
19,15.2828571796,213.090578814,204.206274516,224,233,0,0,133,400,0
20,16.0746610165,467.557050458,511.803398875,458,521,0,0,133,400,0
21,16.9126701355,253.64926518,174.738663991,238,222,0,0,133,400,0
22,18.1078150272,423.624910537,535.955297178,501,525,1,0,133,400,12.1468041936
23,19.0170609951,300.262022567,156.283367774,313,188,0,0,133,400,0
24,19.7586090565,375.066646713,548.422940263,362,566,0,0,133,400,0
25,20.5428030491,350.0,150.0,367,162,0,0,133,400,0
