ZhenX250Y250JL,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.472903013229,350.0,150.0,312,163,0,0,133,400,0
1,1.35633206367,324.933353287,548.422940263,321,528,0,0,133,400,0
2,2.10519599915,399.737977433,156.283367774,398,163,0,0,133,400,0
3,2.92064285278,276.375089463,535.955297178,277,524,0,0,133,400,0
4,3.55666399002,446.35073482,174.738663991,476,208,0,0,133,400,0
5,4.25445199013,232.442949542,511.803398875,237,494,0,0,133,400,0
6,6.0041179657,486.909421186,204.206274516,506,212,0,0,133,400,0
7,6.77947497368,195.897351445,477.48479795,159,453,0,0,133,400,0
8,7.45742797852,518.8655851,242.834641004,506,262,0,0,133,400,0
9,8.20205903053,169.034589507,435.155858313,505,267,1,0,133,400,309.698216302
10,8.805134058,540.211303259,288.196601125,555,275,0,0,133,400,0
11,9.46223306656,153.542549854,387.476262917,161,394,0,0,133,400,0
12,10.0566840172,549.605345686,337.441896094,563,313,0,0,133,400,0
13,10.7351009846,150.394654314,337.441896094,139,332,0,0,133,400,0
14,11.4218709469,546.457450146,387.476262917,533,374,0,0,133,400,0
15,12.1269869804,159.788696741,288.196601125,168,288,0,0,133,400,0
16,12.8760838509,530.965410493,435.155858313,541,417,0,0,133,400,0
17,13.5041129589,181.1344149,242.834641004,215,245,0,0,133,400,0
18,14.2430579662,504.102648555,477.48479795,486,440,0,0,133,400,0
19,14.9123740196,213.090578814,204.206274516,235,212,0,0,133,400,0
20,15.5879290104,467.557050458,511.803398875,472,473,0,0,133,400,0
21,16.3373889923,253.64926518,174.738663991,263,200,0,0,133,400,0
22,17.1541910172,423.624910537,535.955297178,371,518,0,0,133,400,0
23,17.9698739052,300.262022567,156.283367774,325,203,0,0,133,400,0
24,18.7646808624,375.066646713,548.422940263,371,528,0,0,133,400,0
25,19.6218008995,350.0,150.0,357,190,0,0,133,400,0
