ZhenAbsNo1T1,A,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.562776088715,350.0,150.0,342,129,0,0,133,400,0,0.000645875930786
1,1.19134998322,324.933353287,548.422940263,283,574,0,0,133,400,0,0.000967025756836
2,1.82903218269,399.737977433,156.283367774,453,153,0,0,133,400,0,0.00130391120911
3,2.4516210556,276.375089463,535.955297178,234,532,0,0,133,400,0,0.000307083129883
4,4.0517950058,446.35073482,174.738663991,438,205,0,0,133,400,0,0.00171113014221
5,5.09235596657,232.442949542,511.803398875,146,560,1,0,133,400,32.9711871478,0.000300884246826
6,5.79121613503,486.909421186,204.206274516,513,215,0,0,133,400,0,0.00216293334961
7,6.36373996735,195.897351445,477.48479795,225,492,0,0,133,400,0,0.00202107429504
8,7.69355106354,518.8655851,242.834641004,487,301,1,0,133,400,0.322126782102,0.00138592720032
9,8.35308694839,169.034589507,435.155858313,154,462,0,0,133,400,0,0.0024790763855
10,8.89513301849,540.211303259,288.196601125,590,288,0,0,133,400,0,0.000963926315308
11,9.51992416382,153.542549854,387.476262917,182,382,0,0,133,400,0,0.000258922576904
12,10.0851039886,549.605345686,337.441896094,512,324,0,0,133,400,0,0.00125813484192
13,10.6454672813,150.394654314,337.441896094,159,355,0,0,133,400,0,0.00077486038208
14,11.2368843555,546.457450146,387.476262917,523,360,0,0,133,400,0,0.000257968902588
15,12.1205103397,159.788696741,288.196601125,232,318,1,0,133,400,12.1198752103,0.000856876373291
16,12.8483953476,530.965410493,435.155858313,501,403,0,0,133,400,0,0.00192213058472
17,13.5067541599,181.1344149,242.834641004,161,284,0,0,133,400,0,0.00162601470947
18,14.4073171616,504.102648555,477.48479795,502,470,0,0,133,400,0,0.00257205963135
19,15.1954810619,213.090578814,204.206274516,171,245,0,0,133,400,0,0.00196504592896
20,15.9093852043,467.557050458,511.803398875,460,487,0,0,133,400,0,0.000452995300293
21,16.625038147,253.64926518,174.738663991,269,203,0,0,133,400,0,0.00103807449341
22,17.3713459969,423.624910537,535.955297178,463,531,0,0,133,400,0,0.00160312652588
23,17.9635231495,300.262022567,156.283367774,284,191,0,0,133,400,0,0.000861883163452
24,18.6222581863,375.066646713,548.422940263,367,558,0,0,133,400,0,0.000485897064209
25,19.2319750786,350.0,150.0,364,159,0,0,133,400,0,0.000792026519775
