ZhenAbsNo1T1,B,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.0981259346,350.0,150.0,358,157,0,0,58,400,0,0.00408005714417
1,3.25197291374,324.933353287,548.422940263,313,554,0,0,58,400,0,0.000292062759399
2,4.2727098465,399.737977433,156.283367774,410,141,0,0,58,400,0,0.000252962112427
3,5.27265501022,276.375089463,535.955297178,275,532,0,0,58,400,0,0.000389814376831
4,6.15952420235,446.35073482,174.738663991,462,173,0,0,58,400,0,0.000890016555786
5,7.06320118904,232.442949542,511.803398875,229,505,0,0,58,400,0,0.000283002853394
6,7.97969412804,486.909421186,204.206274516,490,218,0,0,58,400,0,0.000477075576782
7,8.81065297127,195.897351445,477.48479795,194,472,0,0,58,400,0,0.00220894813538
8,9.65955114365,518.8655851,242.834641004,496,259,0,0,58,400,0,0.00116991996765
9,10.6789951324,169.034589507,435.155858313,162,435,0,0,58,400,0,0.00087308883667
10,11.4433431625,540.211303259,288.196601125,534,297,0,0,58,400,0,0.000850915908813
11,12.2977831364,153.542549854,387.476262917,143,364,0,0,58,400,0,0.000895977020264
12,13.1319401264,549.605345686,337.441896094,571,322,0,0,58,400,0,0.00125598907471
13,14.0250508785,150.394654314,337.441896094,161,338,0,0,58,400,0,0.00149321556091
14,15.0071132183,546.457450146,387.476262917,524,400,0,0,58,400,0,0.000738859176636
15,16.21352911,159.788696741,288.196601125,153,297,0,0,58,400,0,0.0010769367218
16,17.0273940563,530.965410493,435.155858313,528,440,0,0,58,400,0,0.00159502029419
17,17.9613442421,181.1344149,242.834641004,201,223,0,0,58,400,0,0.000550985336304
18,18.9042248726,504.102648555,477.48479795,501,503,0,0,58,400,0,0.00226616859436
19,20.1008050442,213.090578814,204.206274516,216,210,0,0,58,400,0,0.000345945358276
20,21.0532331467,467.557050458,511.803398875,464,522,0,0,58,400,0,0.000370979309082
21,21.9172301292,253.64926518,174.738663991,256,184,0,0,58,400,0,0.00147294998169
22,22.8740141392,423.624910537,535.955297178,412,538,0,0,58,400,0,0.00138902664185
23,23.785752058,300.262022567,156.283367774,309,145,0,0,58,400,0,0.0010199546814
24,24.616338253,375.066646713,548.422940263,384,563,0,0,58,400,0,0.00152683258057
25,25.6203591824,350.0,150.0,342,143,0,0,58,400,0,0.00057315826416
