ZhenRelNo1T3,A,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.09987306595,350.0,150.0,328,199,0,0,133,400,0,0.00234699249268
1,2.69585895538,324.933353287,548.422940263,315,494,0,0,133,400,0,0.000970125198364
2,5.16170692444,399.737977433,156.283367774,395,216,0,0,133,400,0,0.000355005264282
3,6.76086401939,276.375089463,535.955297178,309,485,0,0,133,400,0,0.00185799598694
4,9.47401285172,446.35073482,174.738663991,438,198,0,0,133,400,0,0.000358104705811
5,11.2966358662,232.442949542,511.803398875,238,500,0,0,133,400,0,0.000792026519775
6,14.1297066212,486.909421186,204.206274516,496,230,0,0,133,400,0,0.00209212303162
7,15.9111747742,195.897351445,477.48479795,256,460,0,0,133,400,0,0.000355005264282
8,17.6694586277,518.8655851,242.834641004,522,225,0,0,133,400,0,0.000916004180908
9,20.1419267654,169.034589507,435.155858313,180,436,0,0,133,400,0,0.0022189617157
10,23.1534416676,540.211303259,288.196601125,467,311,1,0,133,400,10.6804403035,0.00121712684631
11,24.9405593872,153.542549854,387.476262917,179,427,0,0,133,400,0,0.000399112701416
12,31.6094675064,549.605345686,337.441896094,521,323,0,0,133,400,0,0.00202107429504
13,33.3949244022,150.394654314,337.441896094,190,360,0,0,133,400,0,0.000729084014893
14,37.0760962963,546.457450146,387.476262917,530,365,0,0,133,400,0,0.000410079956055
15,39.0429942608,159.788696741,288.196601125,201,303,0,0,133,400,0,0.00226306915283
16,40.8847641945,530.965410493,435.155858313,480,425,0,0,133,400,0,0.000453948974609
17,42.6922440529,181.1344149,242.834641004,217,283,0,0,133,400,0,0.00104713439941
18,44.5284368992,504.102648555,477.48479795,482,438,0,0,133,400,0,0.00140309333801
19,46.4648599625,213.090578814,204.206274516,250,250,0,0,133,400,0,0.00109505653381
20,50.0562739372,467.557050458,511.803398875,465,485,0,0,133,400,0,0.000381946563721
21,52.5127472878,253.64926518,174.738663991,284,227,0,0,133,400,0,0.00180983543396
22,54.9651422501,423.624910537,535.955297178,397,472,1,0,133,400,3.27601242985,0.000655889511108
23,57.9413704872,300.262022567,156.283367774,329,203,0,0,133,400,0,0.000439882278442
24,59.6588532925,375.066646713,548.422940263,373,500,0,0,133,400,0,0.000523090362549
25,62.5838992596,350.0,150.0,372,197,0,0,133,400,0,0.0019211769104
