ZhenRelNo2T3,C,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.18108224869,350.0,50.0,341,52,1,0,19,600,0.219544457293,0.000423908233643
1,6.03980517387,312.400029931,647.634410394,346,57,1,0,19,600,582.589354815,0.000448942184448
2,9.96298551559,424.606966149,59.4250516614,426,59,0,0,19,600,0,0.000883817672729
3,13.2930424213,239.562634195,628.932945766,237,629,0,0,19,600,0,0.000638008117676
4,16.324170351,494.526102231,87.1079959868,497,95,0,0,19,600,0,0.0016450881958
5,19.7696824074,173.664424312,592.705098312,177,589,0,0,19,600,0,0.000910997390747
6,22.3576364517,555.364131779,131.309411774,555,137,0,0,19,600,0,0.000504970550537
7,25.00745821,118.846027167,541.227196925,112,536,0,0,19,600,0,0.00197505950928
8,28.0029513836,603.298377651,189.251961506,605,183,0,0,19,600,0,0.00357699394226
9,30.6143941879,78.5518842602,477.73378747,85,476,0,0,19,600,0,0.000349044799805
10,34.5327262878,635.316954889,257.294901688,635,259,0,1,19,600,0,0.00108194351196
11,37.2450754642,55.3138247814,406.214394376,58,407,0,0,19,600,0,0.000901937484741
12,41.2029473782,649.408018528,331.162844141,650,335,0,0,19,600,0,0.000468969345093
13,44.7377543449,50.5919814715,331.162844141,54,335,0,0,19,600,0,0.000883102416992
14,49.2257421017,644.686175219,406.214394376,641,407,0,0,19,600,0,0.00132012367249
15,52.8166823387,64.6830451115,257.294901688,71,256,0,0,19,600,0,0.000737905502319
16,56.3033022881,621.44811574,477.73378747,626,476,0,0,19,600,0,0.00110411643982
17,59.8372220993,96.7016223494,189.251961506,104,190,0,0,19,600,0,0.0013279914856
18,63.1980302334,581.153972833,541.227196925,585,539,0,0,19,600,0,0.00110292434692
19,66.6130821705,144.635868221,131.309411774,147,132,0,0,19,600,0,0.000277042388916
20,69.8511173725,526.335575688,592.705098312,530,592,0,0,19,600,0,0.000266790390015
21,73.490893364,205.473897769,87.1079959868,207,87,0,0,19,600,0,0.00172901153564
22,77.2597093582,460.437365805,628.932945766,465,634,0,0,19,600,0,0.000453948974609
23,80.9979944229,275.393033851,59.4250516614,280,58,0,0,19,600,0,0.000411033630371
24,84.7513303757,387.599970069,647.634410394,388,645,0,0,19,600,0,0.000750064849854
25,89.7785432339,350.0,50.0,345,45,0,0,19,600,0,0.00136303901672
