ZhenRelNo5T2,B,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.658249139786,350.0,150.0,350,146,0,0,58,400,0,0.00326180458069
1,1.4819893837,324.933353287,548.422940263,325,559,0,0,58,400,0,0.000682830810547
2,2.16919136047,399.737977433,156.283367774,396,148,0,0,58,400,0,0.00134301185608
3,2.93383932114,276.375089463,535.955297178,272,538,0,0,58,400,0,0.00201416015625
4,3.64528536797,446.35073482,174.738663991,420,164,0,0,58,400,0,0.000361919403076
5,4.61399435997,232.442949542,511.803398875,243,500,0,0,58,400,0,0.00161194801331
6,5.24550628662,486.909421186,204.206274516,480,186,0,0,58,400,0,0.00213599205017
7,5.92278933525,195.897351445,477.48479795,170,484,0,0,58,400,0,0.000592947006226
8,6.81084465981,518.8655851,242.834641004,514,248,0,0,58,400,0,0.00154685974121
9,7.94490861893,169.034589507,435.155858313,144,430,0,0,58,400,0,0.00113391876221
10,9.04199457169,540.211303259,288.196601125,528,294,0,0,58,400,0,0.00105714797974
11,9.85176467896,153.542549854,387.476262917,172,382,0,0,58,400,0,0.00023889541626
12,10.6340985298,549.605345686,337.441896094,552,326,0,0,58,400,0,0.0028920173645
13,11.6718225479,150.394654314,337.441896094,152,342,0,0,58,400,0,0.00111413002014
14,12.6061894894,546.457450146,387.476262917,556,394,0,0,58,400,0,0.00055193901062
15,13.3662393093,159.788696741,288.196601125,156,267,0,0,58,400,0,0.00159215927124
16,14.3429713249,530.965410493,435.155858313,546,448,0,0,58,400,0,0.000529050827026
17,15.2781133652,181.1344149,242.834641004,190,234,0,0,58,400,0,0.000500917434692
18,16.211763382,504.102648555,477.48479795,524,472,0,0,58,400,0,0.00220799446106
19,17.2513093948,213.090578814,204.206274516,204,199,0,0,58,400,0,0.00102210044861
20,18.1566474438,467.557050458,511.803398875,458,515,0,0,58,400,0,0.00130891799927
21,20.0340144634,253.64926518,174.738663991,224,157,1,0,58,400,5.55053003772,0.000407934188843
22,20.9413554668,423.624910537,535.955297178,412,525,0,0,58,400,0,0.00103306770325
23,21.8094165325,300.262022567,156.283367774,304,159,0,0,58,400,0,0.000285863876343
24,22.6020765305,375.066646713,548.422940263,374,534,0,0,58,400,0,0.00195097923279
25,23.3716557026,350.0,150.0,343,164,0,0,58,400,0,0.000762939453125
