ZhenT,B,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.06191897392,350.0,150.0,346,135,0,0,58,400,0,0.435734033585
1,2.98402523994,324.933353287,548.422940263,315,527,0,0,58,400,0,0.223872900009
2,3.73470306396,399.737977433,156.283367774,406,171,0,0,58,400,0,0.144124031067
3,4.5544462204,276.375089463,535.955297178,291,552,0,0,58,400,0,0.154774904251
4,5.10527443886,446.35073482,174.738663991,447,163,0,0,58,400,0,0.195692777634
5,5.93140459061,232.442949542,511.803398875,252,505,0,0,58,400,0,0.0586478710175
6,7.1757876873,486.909421186,204.206274516,515,187,1,0,58,400,3.94141012207,0.0502188205719
7,8.19128084183,195.897351445,477.48479795,204,458,0,0,58,400,0,0.147939920425
8,9.11971306801,518.8655851,242.834641004,503,242,0,0,58,400,0,0.178228855133
9,9.9168908596,169.034589507,435.155858313,194,423,0,0,58,400,0,0.435949087143
10,10.8155949116,540.211303259,288.196601125,523,273,0,0,58,400,0,0.167325973511
11,11.8834991455,153.542549854,387.476262917,175,374,0,0,58,400,0,0.165188789368
12,12.7035260201,549.605345686,337.441896094,561,330,0,0,58,400,0,0.12651515007
13,13.8697760105,150.394654314,337.441896094,177,328,0,0,58,400,0,0.115015983582
14,14.7558097839,546.457450146,387.476262917,541,395,0,0,58,400,0,0.3187251091
15,15.305948019,159.788696741,288.196601125,163,278,0,0,58,400,0,0.407692909241
16,16.3030657768,530.965410493,435.155858313,551,449,0,0,58,400,0,0.126577138901
17,17.3807666302,181.1344149,242.834641004,198,249,0,0,58,400,0,0.146238088608
18,18.8663196564,504.102648555,477.48479795,512,445,1,0,58,400,4.43097751605,0.197473049164
19,19.6758515835,213.090578814,204.206274516,229,198,0,0,58,400,0,0.344877004623
20,20.546255827,467.557050458,511.803398875,449,509,0,0,58,400,0,0.154763936996
21,21.4432458878,253.64926518,174.738663991,262,155,0,0,58,400,0,0.115093946457
22,22.7293038368,423.624910537,535.955297178,429,521,0,0,58,400,0,0.0882799625397
23,23.5172798634,300.262022567,156.283367774,310,158,0,0,58,400,0,0.437254905701
24,24.3851130009,375.066646713,548.422940263,380,567,0,0,58,400,0,0.38654088974
25,25.2830400467,350.0,150.0,345,167,0,0,58,400,0,0.165479898453
