ZhenX200Y250T10K0,B,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.939986944199,350.0,150.0,345,146,0,0,58,400,0,0.00365304946899
1,1.88015508652,324.933353287,548.422940263,342,543,0,0,58,400,0,0.00194787979126
2,2.84922122955,399.737977433,156.283367774,411,153,0,0,58,400,0,0.00102496147156
3,3.71023321152,276.375089463,535.955297178,281,537,0,0,58,400,0,0.000305891036987
4,4.59062433243,446.35073482,174.738663991,444,176,0,0,58,400,0,0.00132083892822
5,5.39169335365,232.442949542,511.803398875,225,512,0,0,58,400,0,0.000385046005249
6,6.40045642853,486.909421186,204.206274516,502,222,0,0,58,400,0,0.00262093544006
7,7.23649144173,195.897351445,477.48479795,194,460,0,0,58,400,0,0.00316691398621
8,8.41622257233,518.8655851,242.834641004,515,241,0,0,58,400,0,0.00117301940918
9,9.51977062225,169.034589507,435.155858313,182,427,0,0,58,400,0,0.00288796424866
10,10.6712327003,540.211303259,288.196601125,534,292,0,0,58,400,0,0.000808954238892
11,11.727414608,153.542549854,387.476262917,168,386,0,0,58,400,0,0.000818014144897
12,13.3530037403,549.605345686,337.441896094,550,339,0,0,58,400,0,0.001384973526
13,14.6556656361,150.394654314,337.441896094,157,336,0,0,58,400,0,0.000855922698975
14,15.6247487068,546.457450146,387.476262917,533,374,0,0,58,400,0,0.000778913497925
15,16.9597568512,159.788696741,288.196601125,142,287,0,0,58,400,0,0.00197505950928
16,17.8201668262,530.965410493,435.155858313,539,430,0,0,58,400,0,0.000262975692749
17,18.8415198326,181.1344149,242.834641004,185,253,0,0,58,400,0,0.000552892684937
18,19.7581558228,504.102648555,477.48479795,502,460,0,0,58,400,0,0.00141596794128
19,20.6410200596,213.090578814,204.206274516,194,212,0,0,58,400,0,0.000364780426025
20,21.5473892689,467.557050458,511.803398875,459,490,0,0,58,400,0,0.000935792922974
21,22.5238833427,253.64926518,174.738663991,252,185,0,0,58,400,0,0.00135207176208
22,23.5445981026,423.624910537,535.955297178,426,529,0,0,58,400,0,0.00138807296753
23,24.7534883022,300.262022567,156.283367774,298,175,0,0,58,400,0,0.00211691856384
24,25.9901251793,375.066646713,548.422940263,386,545,0,0,58,400,0,0.00152897834778
25,27.1750032902,350.0,150.0,367,158,0,0,58,400,0,0.00106191635132
