ZhenM,B,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.470872879028,350.0,150.0,362,174,0,0,58,400,0
1,1.27865695953,324.933353287,548.422940263,318,536,0,0,58,400,0
2,1.92589592934,399.737977433,156.283367774,392,158,0,0,58,400,0
3,2.59700989723,276.375089463,535.955297178,281,547,0,0,58,400,0
4,3.3318169117,446.35073482,174.738663991,454,178,0,0,58,400,0
5,3.87661600113,232.442949542,511.803398875,245,513,0,0,58,400,0
6,4.57291483879,486.909421186,204.206274516,479,217,0,0,58,400,0
7,5.22717380524,195.897351445,477.48479795,194,483,0,0,58,400,0
8,5.9383289814,518.8655851,242.834641004,520,237,0,0,58,400,0
9,6.57253098488,169.034589507,435.155858313,173,419,0,0,58,400,0
10,7.2667298317,540.211303259,288.196601125,523,297,0,0,58,400,0
11,8.02694702148,153.542549854,387.476262917,165,390,0,0,58,400,0
12,8.6971309185,549.605345686,337.441896094,565,351,0,0,58,400,0
13,9.38017582893,150.394654314,337.441896094,160,340,0,0,58,400,0
14,10.2058420181,546.457450146,387.476262917,525,398,0,0,58,400,0
15,10.9345870018,159.788696741,288.196601125,182,275,0,0,58,400,0
16,11.4768118858,530.965410493,435.155858313,526,449,0,0,58,400,0
17,12.2687678337,181.1344149,242.834641004,194,252,0,0,58,400,0
18,12.8242268562,504.102648555,477.48479795,500,475,0,0,58,400,0
19,13.4512808323,213.090578814,204.206274516,224,218,0,0,58,400,0
20,14.112762928,467.557050458,511.803398875,456,494,0,0,58,400,0
21,14.7207648754,253.64926518,174.738663991,258,190,0,0,58,400,0
22,15.3262929916,423.624910537,535.955297178,424,533,0,0,58,400,0
23,16.0386719704,300.262022567,156.283367774,313,174,0,0,58,400,0
24,16.6965618134,375.066646713,548.422940263,378,541,0,0,58,400,0
25,17.3688399792,350.0,150.0,356,155,0,0,58,400,0
