ZhenM,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.545286893845,350.0,50.0,352,54,0,0,19,600,0
1,1.63700795174,312.400029931,647.634410394,315,640,0,0,19,600,0
2,2.66494488716,424.606966149,59.4250516614,421,65,0,0,19,600,0
3,3.72093081474,239.562634195,628.932945766,236,625,0,0,19,600,0
4,5.98165798187,494.526102231,87.1079959868,505,83,1,0,19,600,2.2506962235
5,7.19273281097,173.664424312,592.705098312,172,596,0,0,19,600,0
6,8.15858197212,555.364131779,131.309411774,559,133,0,0,19,600,0
7,9.24662089348,118.846027167,541.227196925,120,545,0,0,19,600,0
8,10.2127768993,603.298377651,189.251961506,607,192,0,0,19,600,0
9,11.2585120201,78.5518842602,477.73378747,77,478,0,0,19,600,0
10,12.3545489311,635.316954889,257.294901688,638,261,0,0,19,600,0
11,13.347001791,55.3138247814,406.214394376,59,408,0,0,19,600,0
12,14.6390550137,649.408018528,331.162844141,651,333,0,0,19,600,0
13,15.7730119228,50.5919814715,331.162844141,45,330,0,0,19,600,0
14,16.9225728512,644.686175219,406.214394376,650,408,0,0,19,600,0
15,17.9447197914,64.6830451115,257.294901688,67,261,0,0,19,600,0
16,19.2490727901,621.44811574,477.73378747,616,476,0,0,19,600,0
17,20.2386088371,96.7016223494,189.251961506,103,188,0,0,19,600,0
18,21.2068347931,581.153972833,541.227196925,585,545,0,0,19,600,0
19,23.7829728127,144.635868221,131.309411774,154,133,1,0,19,600,0.515516408395
20,25.0112848282,526.335575688,592.705098312,528,595,0,0,19,600,0
21,26.2564477921,205.473897769,87.1079959868,212,91,0,0,19,600,0
22,27.4470419884,460.437365805,628.932945766,465,625,0,0,19,600,0
23,29.7028038502,275.393033851,59.4250516614,285,59,1,0,19,600,0.616364568363
24,30.7848739624,387.599970069,647.634410394,392,653,0,0,19,600,0
25,31.8383908272,350.0,50.0,353,51,0,0,19,600,0
