ZhenMSlow,C,2014-08-11

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.49114704132,350.0,50.0,347,47,0,0,19,600,0
1,4.07350897789,312.400029931,647.634410394,315,651,0,0,19,600,0
2,6.53323197365,424.606966149,59.4250516614,422,61,0,0,19,600,0
3,8.77495408058,239.562634195,628.932945766,245,630,0,0,19,600,0
4,10.4670729637,494.526102231,87.1079959868,491,89,0,0,19,600,0
5,12.4790120125,173.664424312,592.705098312,180,592,0,0,19,600,0
6,14.0030031204,555.364131779,131.309411774,551,132,0,0,19,600,0
7,15.9933800697,118.846027167,541.227196925,120,539,0,0,19,600,0
8,17.8051819801,603.298377651,189.251961506,606,189,0,0,19,600,0
9,19.571007967,78.5518842602,477.73378747,81,477,0,0,19,600,0
10,21.8731479645,635.316954889,257.294901688,629,260,0,0,19,600,0
11,23.5490040779,55.3138247814,406.214394376,54,408,0,0,19,600,0
12,25.4831709862,649.408018528,331.162844141,653,333,0,0,19,600,0
13,27.1691091061,50.5919814715,331.162844141,56,326,0,0,19,600,0
14,29.2549910545,644.686175219,406.214394376,645,412,0,0,19,600,0
15,30.9091861248,64.6830451115,257.294901688,66,260,0,0,19,600,0
16,33.2969419956,621.44811574,477.73378747,635,479,1,0,19,600,4.61090963801
17,34.8011510372,96.7016223494,189.251961506,95,187,0,0,19,600,0
18,36.8165540695,581.153972833,541.227196925,423,440,1,0,19,600,178.77546304
19,38.4931709766,144.635868221,131.309411774,149,131,0,0,19,600,0
20,40.7050261497,526.335575688,592.705098312,527,592,0,0,19,600,0
21,42.7448811531,205.473897769,87.1079959868,204,83,0,0,19,600,0
22,44.5669801235,460.437365805,628.932945766,461,629,0,0,19,600,0
23,46.2549581528,275.393033851,59.4250516614,275,53,0,0,19,600,0
24,48.2610881329,387.599970069,647.634410394,389,647,0,0,19,600,0
25,49.829046011,350.0,50.0,347,50,0,0,19,600,0
