ZhenX200Y200,B,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.872985124588,350.0,150.0,376,148,0,0,58,400,0
1,2.2667632103,324.933353287,548.422940263,356,147,1,0,58,400,373.623289822
2,3.26714611053,399.737977433,156.283367774,393,166,0,0,58,400,0
3,4.29245114326,276.375089463,535.955297178,280,524,0,0,58,400,0
4,5.03691005707,446.35073482,174.738663991,444,173,0,0,58,400,0
5,7.24577522278,232.442949542,511.803398875,261,502,1,0,58,400,1.19290910779
6,8.22583222389,486.909421186,204.206274516,476,214,0,0,58,400,0
7,9.31701207161,195.897351445,477.48479795,196,485,0,0,58,400,0
8,10.1767380238,518.8655851,242.834641004,539,232,0,0,58,400,0
9,11.0541381836,169.034589507,435.155858313,174,423,0,0,58,400,0
10,11.8541491032,540.211303259,288.196601125,526,283,0,0,58,400,0
11,12.6739280224,153.542549854,387.476262917,152,398,0,0,58,400,0
12,13.9390799999,549.605345686,337.441896094,581,345,1,0,58,400,3.29162823657
13,15.1733191013,150.394654314,337.441896094,165,348,0,0,58,400,0
14,16.1193361282,546.457450146,387.476262917,529,388,0,0,58,400,0
15,17.0551390648,159.788696741,288.196601125,151,300,0,0,58,400,0
16,18.1882622242,530.965410493,435.155858313,535,431,0,0,58,400,0
17,19.2890570164,181.1344149,242.834641004,199,242,0,0,58,400,0
18,21.3061420918,504.102648555,477.48479795,493,447,1,0,58,400,3.44366981363
19,22.3570680618,213.090578814,204.206274516,218,215,0,0,58,400,0
20,23.2822570801,467.557050458,511.803398875,464,517,0,0,58,400,0
21,24.4606070518,253.64926518,174.738663991,238,179,0,0,58,400,0
22,25.651499033,423.624910537,535.955297178,403,523,0,0,58,400,0
23,26.8548350334,300.262022567,156.283367774,299,172,0,0,58,400,0
24,27.7678201199,375.066646713,548.422940263,372,566,0,0,58,400,0
25,28.9316790104,350.0,150.0,343,161,0,0,58,400,0
