ZhenX250Y150,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.77601790428,350.0,50.0,345,59,1,0,19,600,1.29563014099
1,3.4876229763,312.400029931,647.634410394,314,653,0,0,19,600,0
2,7.09482383728,424.606966149,59.4250516614,422,65,0,0,19,600,0
3,9.47969889641,239.562634195,628.932945766,245,638,1,0,19,600,1.57243677567
4,11.0125930309,494.526102231,87.1079959868,495,85,0,0,19,600,0
5,13.2739920616,173.664424312,592.705098312,182,583,1,0,19,600,3.79338717076
6,14.9401788712,555.364131779,131.309411774,552,134,0,0,19,600,0
7,16.6469929218,118.846027167,541.227196925,115,545,0,0,19,600,0
8,18.1532618999,603.298377651,189.251961506,606,194,0,0,19,600,0
9,19.7196018696,78.5518842602,477.73378747,76,470,0,0,19,600,0
10,21.2983739376,635.316954889,257.294901688,629,257,0,0,19,600,0
11,24.5798048973,55.3138247814,406.214394376,61,422,1,0,19,600,7.7784961645
12,27.146944046,649.408018528,331.162844141,637,329,1,0,19,600,3.59511089996
13,28.8578619957,50.5919814715,331.162844141,47,323,0,0,19,600,0
14,30.2986168861,644.686175219,406.214394376,648,406,0,0,19,600,0
15,31.8086838722,64.6830451115,257.294901688,652,405,1,0,19,600,596.605483435
16,33.8275928497,621.44811574,477.73378747,621,480,0,0,19,600,0
17,36.0346848965,96.7016223494,189.251961506,91,185,0,0,19,600,0
18,37.8207039833,581.153972833,541.227196925,575,538,0,0,19,600,0
19,40.1005699635,144.635868221,131.309411774,145,113,1,0,19,600,9.31303228432
20,42.015583992,526.335575688,592.705098312,520,589,0,0,19,600,0
21,43.6522500515,205.473897769,87.1079959868,211,86,0,0,19,600,0
22,46.8650560379,460.437365805,628.932945766,452,624,1,0,19,600,0.773591748645
23,48.6848218441,275.393033851,59.4250516614,271,59,0,0,19,600,0
24,51.6069378853,387.599970069,647.634410394,387,638,1,0,19,600,0.653073486236
25,53.7826869488,350.0,50.0,350,44,0,0,19,600,0
