ZhenX250Y200JL,B,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.658221960068,350.0,150.0,350,146,0,0,58,400,0
1,1.56826496124,324.933353287,548.422940263,322,555,0,0,58,400,0
2,2.3997387886,399.737977433,156.283367774,399,155,0,0,58,400,0
3,4.25189399719,276.375089463,535.955297178,265,553,0,0,58,400,0
4,5.28141689301,446.35073482,174.738663991,456,169,0,0,58,400,0
5,6.21941995621,232.442949542,511.803398875,242,522,0,0,58,400,0
6,7.19338083267,486.909421186,204.206274516,486,215,0,0,58,400,0
7,8.00645589828,195.897351445,477.48479795,203,470,0,0,58,400,0
8,8.86735391617,518.8655851,242.834641004,517,223,0,0,58,400,0
9,9.68052792549,169.034589507,435.155858313,175,429,0,0,58,400,0
10,10.4985799789,540.211303259,288.196601125,522,287,0,0,58,400,0
11,11.3604819775,153.542549854,387.476262917,145,391,0,0,58,400,0
12,12.3499958515,549.605345686,337.441896094,552,330,0,0,58,400,0
13,13.2681338787,150.394654314,337.441896094,160,334,0,0,58,400,0
14,14.2062749863,546.457450146,387.476262917,549,386,0,0,58,400,0
15,15.1897759438,159.788696741,288.196601125,178,285,0,0,58,400,0
16,16.2163059711,530.965410493,435.155858313,526,435,0,0,58,400,0
17,17.0672159195,181.1344149,242.834641004,175,246,0,0,58,400,0
18,18.9802689552,504.102648555,477.48479795,501,479,0,0,58,400,0
19,19.9046978951,213.090578814,204.206274516,210,224,0,0,58,400,0
20,20.882972002,467.557050458,511.803398875,456,526,0,0,58,400,0
21,21.8799319267,253.64926518,174.738663991,258,192,0,0,58,400,0
22,22.6531968117,423.624910537,535.955297178,427,528,0,0,58,400,0
23,23.6254458427,300.262022567,156.283367774,292,161,0,0,58,400,0
24,24.533274889,375.066646713,548.422940263,382,545,0,0,58,400,0
25,25.5324189663,350.0,150.0,347,154,0,0,58,400,0
