ZhenX250Y250JL,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.58641910553,350.0,50.0,358,53,0,0,19,600,0
1,3.61186099052,312.400029931,647.634410394,315,648,0,0,19,600,0
2,5.58842611313,424.606966149,59.4250516614,436,65,1,0,19,600,3.68389803245
3,7.29962801933,239.562634195,628.932945766,245,631,0,0,19,600,0
4,8.87314510345,494.526102231,87.1079959868,488,86,0,0,19,600,0
5,10.8219180107,173.664424312,592.705098312,163,594,1,0,19,600,1.7427518026
6,12.4367051125,555.364131779,131.309411774,559,128,0,0,19,600,0
7,14.1302340031,118.846027167,541.227196925,121,543,0,0,19,600,0
8,17.6264250278,603.298377651,189.251961506,601,188,0,0,19,600,0
9,19.6032810211,78.5518842602,477.73378747,86,476,0,0,19,600,0
10,34.9669430256,635.316954889,257.294901688,582,288,1,0,19,600,52.5264231121
11,36.3682351112,55.3138247814,406.214394376,61,405,0,0,19,600,0
12,37.9550261497,649.408018528,331.162844141,650,337,0,0,19,600,0
13,39.4728391171,50.5919814715,331.162844141,57,327,0,0,19,600,0
14,40.8675961494,644.686175219,406.214394376,636,404,0,0,19,600,0
15,42.3105211258,64.6830451115,257.294901688,70,252,0,0,19,600,0
16,47.3766322136,621.44811574,477.73378747,631,473,1,1,19,600,1.66054579873
17,49.2707951069,96.7016223494,189.251961506,100,186,0,0,19,600,0
18,51.0343790054,581.153972833,541.227196925,589,542,0,0,19,600,0
19,53.6386370659,144.635868221,131.309411774,136,134,1,0,19,600,0.0453018159396
20,56.1735320091,526.335575688,592.705098312,516,590,1,0,19,600,1.68371104426
21,58.2924480438,205.473897769,87.1079959868,201,95,1,0,19,600,0.0719065579142
22,60.2761571407,460.437365805,628.932945766,462,636,0,0,19,600,0
23,61.8146760464,275.393033851,59.4250516614,276,53,0,0,19,600,0
24,63.3924181461,387.599970069,647.634410394,392,654,0,0,19,600,0
25,65.122587204,350.0,50.0,346,49,0,0,19,600,0
