divya712,B,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,6.73733329773,350.0,150.0,979,767,1,0,27,400,868.095908514,0.00677585601807
1,15.7651071548,324.933353287,548.422940263,356,360,1,0,27,400,177.966858264,0.00096607208252
2,17.6164941788,399.737977433,156.283367774,400,159,0,0,27,400,0,0.000993967056274
3,21.6001982689,276.375089463,535.955297178,357,411,1,0,27,400,135.70844795,0.000809907913208
4,23.3239653111,446.35073482,174.738663991,454,180,0,0,27,400,0,0.001051902771
5,24.9288063049,232.442949542,511.803398875,239,514,0,0,27,400,0,0.000869989395142
6,26.8074364662,486.909421186,204.206274516,498,203,0,0,27,400,0,0.000855922698975
7,28.3216056824,195.897351445,477.48479795,192,477,0,0,27,400,0,0.000831842422485
8,29.8713805676,518.8655851,242.834641004,516,249,0,0,27,400,0,0.00102400779724
9,31.7155406475,169.034589507,435.155858313,170,435,0,0,27,400,0,0.00085711479187
10,33.287122488,540.211303259,288.196601125,547,295,0,0,27,400,0,0.00076699256897
11,34.9714775085,153.542549854,387.476262917,159,384,0,0,27,400,0,0.000813007354736
12,36.4743514061,549.605345686,337.441896094,547,334,0,0,27,400,0,0.000976085662842
13,37.8468394279,150.394654314,337.441896094,142,341,0,0,27,400,0,0.000720977783203
14,39.707754612,546.457450146,387.476262917,547,391,0,0,27,400,0,0.000773906707764
15,41.2550835609,159.788696741,288.196601125,148,291,0,0,27,400,0,0.00122499465942
16,43.0490427017,530.965410493,435.155858313,542,433,0,0,27,400,0,0.00104093551636
17,45.0587134361,181.1344149,242.834641004,192,242,0,0,27,400,0,0.000803232192993
18,46.9047112465,504.102648555,477.48479795,505,477,0,0,27,400,0,0.00058913230896
19,48.9333832264,213.090578814,204.206274516,208,203,0,0,27,400,0,0.000838041305542
20,51.0680072308,467.557050458,511.803398875,460,506,0,0,27,400,0,0.00089693069458
21,53.4944434166,253.64926518,174.738663991,249,184,0,0,27,400,0,0.00107192993164
22,55.3238325119,423.624910537,535.955297178,416,533,0,0,27,400,0,0.00089693069458
23,57.1309561729,300.262022567,156.283367774,301,159,0,0,27,400,0,0.000846147537231
24,58.5587193966,375.066646713,548.422940263,372,548,0,0,27,400,0,0.000818967819214
25,60.0368840694,350.0,150.0,345,159,0,0,27,400,0,0.000913143157959
