divya732,B,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.98179793358,350.0,150.0,353,153,0,0,27,400,0,0.00754904747009
1,3.36031675339,324.933353287,548.422940263,331,540,0,0,27,400,0,0.000626087188721
2,6.34304475784,399.737977433,156.283367774,403,169,1,0,27,400,0.1283481974,0.00094199180603
3,7.66413855553,276.375089463,535.955297178,275,539,0,0,27,400,0,0.000754117965698
4,13.2816207409,446.35073482,174.738663991,442,187,1,0,27,400,0.0103518091162,0.000576972961426
5,14.8205766678,232.442949542,511.803398875,228,513,0,0,27,400,0,0.000910997390747
6,18.9879748821,486.909421186,204.206274516,489,210,0,0,27,400,0,0.001051902771
7,20.8084847927,195.897351445,477.48479795,197,484,0,0,27,400,0,0.000868082046509
8,22.8042078018,518.8655851,242.834641004,515,247,0,0,27,400,0,0.00107598304749
9,24.4814627171,169.034589507,435.155858313,171,445,0,0,27,400,0,0.00103402137756
10,26.6743497849,540.211303259,288.196601125,534,288,0,0,27,400,0,0.000705003738403
11,28.625361681,153.542549854,387.476262917,153,396,0,0,27,400,0,0.000509023666382
12,30.7027668953,549.605345686,337.441896094,556,331,0,0,27,400,0,0.000841856002808
13,32.2571847439,150.394654314,337.441896094,142,336,0,0,27,400,0,0.000652074813843
14,34.0322887897,546.457450146,387.476262917,539,385,0,0,27,400,0,0.000784873962402
15,35.5057110786,159.788696741,288.196601125,158,289,0,0,27,400,0,0.00077486038208
16,36.8989560604,530.965410493,435.155858313,520,435,0,0,27,400,0,0.00076699256897
17,39.2028992176,181.1344149,242.834641004,189,250,0,0,27,400,0,0.00101590156555
18,40.7488150597,504.102648555,477.48479795,507,482,0,0,27,400,0,0.000579118728638
19,41.9981138706,213.090578814,204.206274516,218,210,0,0,27,400,0,0.000657081604004
20,43.7495298386,467.557050458,511.803398875,463,505,0,0,27,400,0,0.000925064086914
21,44.8733038902,253.64926518,174.738663991,249,182,0,0,27,400,0,0.000946998596191
22,46.2535598278,423.624910537,535.955297178,429,531,0,0,27,400,0,0.00107192993164
23,47.7247419357,300.262022567,156.283367774,291,163,0,0,27,400,0,0.00078296661377
24,49.4682548046,375.066646713,548.422940263,377,542,0,0,27,400,0,0.000721216201782
25,50.7714657784,350.0,150.0,356,158,0,0,27,400,0,0.000576019287109
