divya734,C,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.74512386322,350.0,150.0,401,497,1,0,13,400,344.727814694,0.298569917679
1,6.44707489014,324.933353287,548.422940263,343,539,1,0,13,400,14.3763472351,0.000755071640015
2,8.8759829998,399.737977433,156.283367774,402,158,0,0,13,400,0,0.000861883163452
3,10.4475190639,276.375089463,535.955297178,277,539,0,0,13,400,0,0.00115084648132
4,12.5635180473,446.35073482,174.738663991,444,176,0,0,13,400,0,0.00078010559082
5,14.8154170513,232.442949542,511.803398875,230,515,0,0,13,400,0,0.00076699256897
6,17.8224730492,486.909421186,204.206274516,491,205,0,0,13,400,0,0.000669002532959
7,19.5988132954,195.897351445,477.48479795,199,481,0,0,13,400,0,0.000785827636719
8,23.1651780605,518.8655851,242.834641004,519,244,0,0,13,400,0,0.000961065292358
9,24.8117749691,169.034589507,435.155858313,165,437,0,0,13,400,0,0.000897169113159
10,27.7633621693,540.211303259,288.196601125,543,291,0,0,13,400,0,0.000779867172241
11,32.1329770088,153.542549854,387.476262917,157,392,0,0,13,400,0,0.000960111618042
12,33.4886960983,549.605345686,337.441896094,548,333,0,0,13,400,0,0.00075888633728
13,35.7190999985,150.394654314,337.441896094,154,335,0,0,13,400,0,0.000662088394165
14,41.6643280983,546.457450146,387.476262917,540,385,1,0,13,400,0.915962725428,0.000880002975464
15,45.5153851509,159.788696741,288.196601125,162,291,0,0,13,400,0,0.000788927078247
16,48.2112801075,530.965410493,435.155858313,535,437,0,0,13,400,0,0.000797986984253
17,52.2533681393,181.1344149,242.834641004,185,249,1,0,13,400,1.27697737495,0.000808000564575
18,54.6385104656,504.102648555,477.48479795,509,476,0,0,13,400,0,0.000786781311035
19,56.5395662785,213.090578814,204.206274516,212,202,0,0,13,400,0,0.000997066497803
20,58.9289004803,467.557050458,511.803398875,469,511,0,0,13,400,0,0.000953912734985
21,60.7560203075,253.64926518,174.738663991,251,176,0,0,13,400,0,0.000914096832275
22,62.1276962757,423.624910537,535.955297178,428,533,0,0,13,400,0,0.000765085220337
23,63.5932571888,300.262022567,156.283367774,305,155,0,0,13,400,0,0.000813961029053
24,64.9555072784,375.066646713,548.422940263,378,549,0,0,13,400,0,0.000907897949219
25,66.2735950947,350.0,150.0,350,153,0,0,13,400,0,0.000954151153564
