divya723,B,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.896851062775,350.0,150.0,352,160,0,0,27,400,0,0.664587020874
1,1.67980527878,324.933353287,548.422940263,328,549,0,0,27,400,0,0.165012836456
2,2.57407903671,399.737977433,156.283367774,406,152,0,0,27,400,0,0.169248104095
3,3.54350423813,276.375089463,535.955297178,277,548,0,0,27,400,0,0.175216913223
4,4.60028719902,446.35073482,174.738663991,453,182,0,0,27,400,0,0.126555919647
5,5.6735663414,232.442949542,511.803398875,234,506,0,0,27,400,0,0.135252952576
6,6.8271381855,486.909421186,204.206274516,494,204,0,0,27,400,0,0.161087989807
7,7.5934252739,195.897351445,477.48479795,201,469,0,0,27,400,0,0.158138990402
8,8.40020036697,518.8655851,242.834641004,523,244,0,0,27,400,0,0.151789903641
9,9.55114841461,169.034589507,435.155858313,173,428,0,0,27,400,0,0.16884303093
10,10.4296672344,540.211303259,288.196601125,549,290,0,0,27,400,0,0.209273099899
11,11.2847292423,153.542549854,387.476262917,162,390,0,0,27,400,0,0.161217927933
12,12.1557552814,549.605345686,337.441896094,558,334,0,0,27,400,0,0.151124000549
13,13.0178041458,150.394654314,337.441896094,154,338,0,0,27,400,0,0.17004108429
14,13.7186262608,546.457450146,387.476262917,548,386,0,0,27,400,0,0.126918077469
15,14.6528372765,159.788696741,288.196601125,161,286,0,0,27,400,0,0.153157949448
16,15.46641922,530.965410493,435.155858313,531,440,0,0,27,400,0,0.0570170879364
17,16.6505420208,181.1344149,242.834641004,185,237,0,0,27,400,0,0.145128011703
18,19.1655201912,504.102648555,477.48479795,493,469,1,0,27,400,0.973567947637,0.103796958923
19,20.2041683197,213.090578814,204.206274516,223,201,0,0,27,400,0,0.193029880524
20,21.2753272057,467.557050458,511.803398875,474,506,0,0,27,400,0,0.169041156769
21,22.5884032249,253.64926518,174.738663991,251,173,0,0,27,400,0,0.168972969055
22,23.5707192421,423.624910537,535.955297178,429,535,0,0,27,400,0,0.192983865738
23,24.6283483505,300.262022567,156.283367774,313,157,0,0,27,400,0,0.153079032898
24,25.3953261375,375.066646713,548.422940263,378,560,0,0,27,400,0,0.174710035324
25,26.4686522484,350.0,150.0,357,148,0,0,27,400,0,0.13458108902
