divya724,A,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.969164133072,350.0,150.0,334,156,0,0,57,400,0,0.573309898376
1,1.7512242794,324.933353287,548.422940263,322,528,0,0,57,400,0,0.0948300361633
2,2.33174204826,399.737977433,156.283367774,411,152,0,0,57,400,0,0.199582099915
3,2.94353628159,276.375089463,535.955297178,275,548,0,0,57,400,0,0.121610879898
4,3.62045931816,446.35073482,174.738663991,432,179,0,0,57,400,0,0.105979919434
5,4.15272831917,232.442949542,511.803398875,221,508,0,0,57,400,0,0.103250980377
6,4.97737026215,486.909421186,204.206274516,493,219,0,0,57,400,0,0.0877621173859
7,5.51857209206,195.897351445,477.48479795,187,483,0,0,57,400,0,0.119091033936
8,6.24632310867,518.8655851,242.834641004,530,253,0,0,57,400,0,0.0145709514618
9,7.47934317589,169.034589507,435.155858313,196,449,1,0,57,400,2.31160870222,0.126523971558
10,8.0205373764,540.211303259,288.196601125,550,273,0,0,57,400,0,0.144898891449
11,8.52172517776,153.542549854,387.476262917,147,400,0,0,57,400,0,0.158757209778
12,9.91653442383,549.605345686,337.441896094,514,341,1,0,57,400,7.78268778054,0.152985811234
13,10.9339463711,150.394654314,337.441896094,152,329,0,0,57,400,0,0.126693964005
14,11.7189700603,546.457450146,387.476262917,524,386,0,0,57,400,0,0.110910177231
15,13.406358242,159.788696741,288.196601125,181,244,1,0,57,400,21.023044958,0.164896011353
16,13.9239022732,530.965410493,435.155858313,524,439,0,0,57,400,0,0.158452987671
17,14.754830122,181.1344149,242.834641004,176,251,0,0,57,400,0,0.0386710166931
18,15.3198552132,504.102648555,477.48479795,483,465,0,0,57,400,0,0.144958019257
19,16.2570841312,213.090578814,204.206274516,213,197,0,0,57,400,0,0.126749992371
20,16.8455302715,467.557050458,511.803398875,480,520,0,0,57,400,0,0.118927955627
21,17.4113910198,253.64926518,174.738663991,233,178,0,0,57,400,0,0.14554309845
22,18.0904662609,423.624910537,535.955297178,416,521,0,0,57,400,0,0.13401889801
23,18.527821064,300.262022567,156.283367774,306,157,0,0,57,400,0,0.126712083817
24,19.166093111,375.066646713,548.422940263,374,541,0,0,57,400,0,0.13561296463
25,19.7310152054,350.0,150.0,351,165,0,0,57,400,0,0.0871348381042
