divya743,A,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.617011785507,350.0,150.0,353,153,0,0,57,400,0,0.398894071579
1,1.64480161667,324.933353287,548.422940263,332,539,0,0,57,400,0,0.00297117233276
2,2.58638167381,399.737977433,156.283367774,409,157,0,0,57,400,0,0.0531280040741
3,3.71364188194,276.375089463,535.955297178,292,518,0,0,57,400,0,0.0010929107666
4,4.72692370415,446.35073482,174.738663991,449,163,0,0,57,400,0,0.0035080909729
5,5.87136983871,232.442949542,511.803398875,254,503,0,0,57,400,0,0.00389194488525
6,7.01820158958,486.909421186,204.206274516,497,203,0,0,57,400,0,0.00292205810547
7,8.38522481918,195.897351445,477.48479795,197,471,0,0,57,400,0,0.00446391105652
8,10.2627499104,518.8655851,242.834641004,518,254,0,0,57,400,0,0.00405788421631
9,11.3887360096,169.034589507,435.155858313,155,431,0,0,57,400,0,0.00340986251831
10,12.5043468475,540.211303259,288.196601125,539,300,0,0,57,400,0,0.0191490650177
11,13.4180099964,153.542549854,387.476262917,147,386,0,0,57,400,0,0.00339293479919
12,14.6998441219,549.605345686,337.441896094,528,353,0,0,57,400,0,0.00498294830322
13,15.9145109653,150.394654314,337.441896094,164,344,0,0,57,400,0,0.0330460071564
14,17.1676139832,546.457450146,387.476262917,536,389,0,0,57,400,0,0.0368831157684
15,18.6422438622,159.788696741,288.196601125,180,291,0,0,57,400,0,0.0207200050354
16,20.020595789,530.965410493,435.155858313,552,432,0,0,57,400,0,0.0065290927887
17,21.2273368835,181.1344149,242.834641004,186,246,0,0,57,400,0,0.00428295135498
18,22.32766366,504.102648555,477.48479795,497,477,0,0,57,400,0,0.00420618057251
19,23.3060326576,213.090578814,204.206274516,210,196,0,0,57,400,0,0.0202009677887
20,24.2086806297,467.557050458,511.803398875,458,507,0,0,57,400,0,0.10046505928
21,25.9395987988,253.64926518,174.738663991,272,189,0,0,57,400,0,0.0655930042267
22,27.1057345867,423.624910537,535.955297178,432,538,0,0,57,400,0,0.0191102027893
23,28.625348568,300.262022567,156.283367774,312,152,0,0,57,400,0,0.00145292282104
24,29.9501526356,375.066646713,548.422940263,380,550,0,0,57,400,0,0.0190289020538
25,31.400321722,350.0,150.0,350,155,0,0,57,400,0,0.0340900421143
