julianTest,B,2014-08-06

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width, distance, errorMargin
0,0.682618141174,350.0,150.0,339,167,0,0,58,400,0
1,1.45084404945,324.933353287,548.422940263,318,543,0,0,58,400,0
2,2.05073618889,399.737977433,156.283367774,400,172,0,0,58,400,0
3,2.7144370079,276.375089463,535.955297178,255,534,0,0,58,400,0
4,4.53880620003,446.35073482,174.738663991,432,204,1,0,58,400,3.59094007392
5,5.30664515495,232.442949542,511.803398875,245,516,0,0,58,400,0
6,6.0026781559,486.909421186,204.206274516,482,203,0,0,58,400,0
7,6.97081398964,195.897351445,477.48479795,216,474,0,0,58,400,0
8,7.69877505302,518.8655851,242.834641004,524,241,0,0,58,400,0
9,8.61079120636,169.034589507,435.155858313,167,449,0,0,58,400,0
10,9.44278502464,540.211303259,288.196601125,539,290,0,0,58,400,0
11,10.2023630142,153.542549854,387.476262917,168,383,0,0,58,400,0
12,10.8266479969,549.605345686,337.441896094,545,339,0,0,58,400,0
13,11.4666180611,150.394654314,337.441896094,150,340,0,0,58,400,0
14,12.1226201057,546.457450146,387.476262917,527,392,0,0,58,400,0
15,12.8187570572,159.788696741,288.196601125,162,294,0,0,58,400,0
16,13.5147850513,530.965410493,435.155858313,513,430,0,0,58,400,0
17,14.7067410946,181.1344149,242.834641004,208,262,1,0,58,400,4.00107041029
18,15.4831221104,504.102648555,477.48479795,495,475,0,0,58,400,0
19,16.1465861797,213.090578814,204.206274516,200,193,0,0,58,400,0
20,16.8826479912,467.557050458,511.803398875,468,496,0,0,58,400,0
21,17.5306620598,253.64926518,174.738663991,240,180,0,0,58,400,0
22,18.2666521072,423.624910537,535.955297178,415,514,0,0,58,400,0
23,18.9786601067,300.262022567,156.283367774,317,166,0,0,58,400,0
24,19.9146420956,375.066646713,548.422940263,377,537,0,0,58,400,0
25,20.5786430836,350.0,150.0,361,173,0,0,58,400,0
