julianTest,C,2014-08-06

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width, distance, errorMargin
0,1.1751601696,350.0,50.0,349,50,0,0,19,600,0
1,2.36714506149,312.400029931,647.634410394,315,649,0,0,19,600,0
2,3.91114401817,424.606966149,59.4250516614,425,68,0,0,19,600,0
3,4.96690106392,239.562634195,628.932945766,242,627,0,0,19,600,0
4,5.92716813087,494.526102231,87.1079959868,497,93,0,0,19,600,0
5,7.05512404442,173.664424312,592.705098312,172,601,0,0,19,600,0
6,8.37480115891,555.364131779,131.309411774,550,136,0,0,19,600,0
7,9.49503803253,118.846027167,541.227196925,118,546,0,0,19,600,0
8,10.4871060848,603.298377651,189.251961506,604,188,0,0,19,600,0
9,13.2150461674,78.5518842602,477.73378747,84,485,1,0,19,600,0.0818395522273
10,14.4470989704,635.316954889,257.294901688,635,260,0,0,19,600,0
11,15.4950120449,55.3138247814,406.214394376,63,407,0,0,19,600,0
12,16.5515170097,649.408018528,331.162844141,648,332,0,0,19,600,0
13,17.5829701424,50.5919814715,331.162844141,56,333,0,0,19,600,0
14,18.4790461063,644.686175219,406.214394376,647,408,0,0,19,600,0
15,19.6631550789,64.6830451115,257.294901688,66,261,0,0,19,600,0
16,20.7590479851,621.44811574,477.73378747,619,476,0,0,19,600,0
17,21.871006012,96.7016223494,189.251961506,101,196,0,0,19,600,0
18,22.9750180244,581.153972833,541.227196925,585,541,0,0,19,600,0
19,24.0149600506,144.635868221,131.309411774,147,133,0,0,19,600,0
20,25.1507680416,526.335575688,592.705098312,524,597,0,0,19,600,0
21,26.9829900265,205.473897769,87.1079959868,213,94,1,0,19,600,1.20499554638
22,28.1026861668,460.437365805,628.932945766,460,632,0,0,19,600,0
23,29.1428961754,275.393033851,59.4250516614,282,62,0,0,19,600,0
24,30.3349430561,387.599970069,647.634410394,387,647,0,0,19,600,0
25,31.5109100342,350.0,50.0,354,56,0,0,19,600,0
