x300y250,C
,2014-07-30

Target#, time, targetX, targetY, clicked, keyPressed, condition (W&D), errorMargin
0,1.06218218803,350.0,50.0,0,0,19,600,0
1,2.22594499588,312.400029931,647.634410394,1,0,19,600,9.68692951107
2,4.11215496063,424.606966149,59.4250516614,1,0,19,600,0
3,5.58357596397,239.562634195,628.932945766,0,0,19,600,594.792282375
4,6.66508507729,494.526102231,87.1079959868,0,0,19,600,0
5,9.91046118736,173.664424312,592.705098312,1,0,19,600,0
6,11.7036621571,555.364131779,131.309411774,0,0,19,600,0
7,14.8738701344,118.846027167,541.227196925,1,0,19,600,27.5737293495
8,16.3701350689,603.298377651,189.251961506,0,0,19,600,0
9,19.8062391281,78.5518842602,477.73378747,1,0,19,600,0
10,21.2728230953,635.316954889,257.294901688,0,0,19,600,25.728063457
11,22.9080131054,55.3138247814,406.214394376,0,0,19,600,6.69868133353
12,24.469091177,649.408018528,331.162844141,0,0,19,600,0
13,26.9393091202,50.5919814715,331.162844141,1,0,19,600,0
14,29.5410959721,644.686175219,406.214394376,1,0,19,600,2.67026448823
15,31.3602080345,64.6830451115,257.294901688,0,0,19,600,0
16,32.8761410713,621.44811574,477.73378747,0,0,19,600,0
17,34.4057309628,96.7016223494,189.251961506,0,0,19,600,0
18,36.196595192,581.153972833,541.227196925,0,0,19,600,0
19,38.3668689728,144.635868221,131.309411774,1,0,19,600,0.40988367046
20,41.960832119,526.335575688,592.705098312,1,0,19,600,7.85072215413
21,43.5566780567,205.473897769,87.1079959868,0,0,19,600,0
22,45.3733689785,460.437365805,628.932945766,0,0,19,600,1.46725222142
23,46.7609641552,275.393033851,59.4250516614,0,0,19,600,0.0035638889324
24,49.685655117,387.599970069,647.634410394,1,0,19,600,0
25,51.2326080799,350.0,50.0,0,0,19,600,0
