CheckHowTime,A,2014-08-27

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.559,350.000,150.000,323.000,173.000,0,0,133,400,0.000,0.278,47.084,2.144,defencelessly
1,51.117,293.653,541.899,285.000,518.000,0,0,133,400,0.000,0.744,0.599,1.200,mareograph
2,53.626,458.128,181.749,458.000,174.000,0,0,133,400,0.000,0.396,0.602,3.336,indisputableness
3,159.287,198.850,480.972,196.000,523.000,0,0,133,400,0.000,101.171,0.681,0.800,dacryon
4,161.279,531.926,266.917,525.000,218.000,0,0,133,400,0.000,0.278,0.490,0.840,candle
5,163.147,152.036,378.463,179.000,346.000,0,0,133,400,0.000,0.242,0.549,2.696,unselfconsciousness
6,167.043,547.964,378.463,582.000,371.000,0,0,133,400,0.000,0.290,0.573,0.944,leaky
7,169.362,168.074,266.917,160.000,270.000,0,0,133,400,0.000,0.343,0.590,1.312,understage
8,172.033,501.150,480.972,516.000,468.000,0,0,133,400,0.000,0.400,0.591,0.768,tumbrel
9,174.162,241.872,181.749,253.000,196.000,0,0,133,400,0.000,0.328,0.535,0.320,iwis
10,175.622,406.347,541.899,412.000,508.000,0,0,133,400,0.000,0.234,0.555,0.360,candle
11,177.402,350.000,150.000,390.000,158.000,0,0,133,400,0.000,0.358
