Crhing,A,2014-08-27

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.544,350.000,150.000,359.000,150.000,0,0,57,400,0.000,0.126,0.728,0.289,saith
1,2.279,293.653,541.899,280.000,549.000,0,0,57,400,0.000,0.286,0.553,0.497,mihail
2,14.871,458.128,181.749,471.000,179.000,0,0,57,400,0.000,11.089,0.645,1.704,autopotamic
3,18.191,198.850,480.972,193.000,475.000,0,0,57,400,0.000,0.433,0.517,0.288,korah
4,19.769,531.926,266.917,506.000,276.000,0,0,57,400,0.000,0.284,20.040,0.360,leaky
5,41.036,152.036,378.463,149.000,362.000,0,0,57,400,0.000,0.386,0.573,1.088,floweriness
6,43.415,547.964,378.463,548.000,367.000,0,0,57,400,0.000,0.138,0.579,0.968,glencoe
7,45.697,168.074,266.917,183.000,266.000,0,0,57,400,0.000,0.232,0.505,0.328,saith
8,47.251,501.150,480.972,513.000,481.000,0,0,57,400,0.000,0.280,0.559,1.760,cannily
9,50.459,241.872,181.749,244.000,187.000,0,0,57,400,0.000,0.360,0.551,1.152,involutional
10,52.913,406.347,541.899,407.000,524.000,0,0,57,400,0.000,0.278,0.449,2.768,nonutterance
11,56.737,350.000,150.000,359.000,143.000,0,0,57,400,0.000,0.180
