P11M5,C,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.577,350.000,150.000,347.000,152.000,0,0,13,400,0.000,0.278,0.799,0.883,printer
1,2.062,293.653,541.899,298.000,541.000,0,0,13,400,0.000,0.445,0.880,0.906,printer
2,1.617,458.128,181.749,459.000,184.000,0,0,13,400,0.000,0.389,0.857,1.453,pittsburgh
3,3.132,198.850,480.972,198.000,482.000,0,0,13,400,0.000,0.729,0.937,0.337,male
4,2.687,531.926,266.917,530.000,272.000,0,0,13,400,0.000,0.398,0.888,0.773,towel
5,2.298,152.036,378.463,153.000,378.000,0,0,13,400,0.000,0.571,0.853,0.882,avenue
6,4.830,547.964,378.463,553.000,374.000,1,0,13,400,0.729,0.440,1.017,1.292,keyboard
7,4.385,168.074,266.917,172.000,265.000,0,0,13,400,0.000,0.426,0.736,0.801,avenue
8,3.996,501.150,480.972,503.000,477.000,0,0,13,400,0.000,0.358,0.904,1.835,pittsburgh
9,3.267,241.872,181.749,243.000,183.000,0,0,13,400,0.000,0.604,0.829,2.451,bring
10,5.997,406.347,541.899,407.000,544.000,0,0,13,400,0.000,0.303,0.830,0.482,cafe
11,5.552,350.000,150.000,350.000,151.000,0,0,13,400,0.000,0.375
