P12M5,C,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.721,350.000,150.000,348.000,149.000,0,0,13,400,0.000,0.057,0.687,0.508,paper
1,2.414,293.653,541.899,295.000,541.000,0,0,13,400,0.000,0.388,0.720,0.406,gates
2,2.026,458.128,181.749,458.000,179.000,0,0,13,400,0.000,0.346,0.624,0.499,google
3,3.833,198.850,480.972,201.000,482.000,0,0,13,400,0.000,0.485,0.677,0.496,tree
4,3.445,531.926,266.917,537.000,270.000,0,0,13,400,0.000,0.162,0.724,1.263,university
5,3.099,152.036,378.463,156.000,377.000,0,0,13,400,0.000,0.668,0.646,0.982,carnegie
6,5.302,547.964,378.463,549.000,376.000,0,0,13,400,0.000,0.443,0.659,2.298,chair
7,4.914,168.074,266.917,168.000,268.000,0,0,13,400,0.000,0.514,0.630,0.677,center
8,4.568,501.150,480.972,499.000,481.000,0,0,13,400,0.000,0.163,0.834,2.025,government
9,4.083,241.872,181.749,240.000,184.000,0,0,13,400,0.000,0.492,0.793,0.213,you
10,6.553,406.347,541.899,408.000,545.000,0,0,13,400,0.000,0.609,0.742,0.284,you
11,6.165,350.000,150.000,356.000,152.000,1,0,13,400,0.325,0.492
