P14F3,A,2014-09-11

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.939,350.000,150.000,351.000,143.000,0,0,57,400,0.000,1.724,1.458,0.580,center
1,3.223,293.653,541.899,290.000,547.000,0,0,57,400,0.000,0.790,1.201,0.567,candle
2,2.433,458.128,181.749,303.000,565.000,1,0,57,400,385.456,0.867,1.297,0.208,him
3,8.343,198.850,480.972,193.000,479.000,0,1,57,400,0.000,0.990,1.154,0.787,computer
4,7.553,531.926,266.917,545.000,255.000,0,0,57,400,0.000,0.984,1.090,1.524,apple
5,6.686,152.036,378.463,169.000,376.000,0,0,57,400,0.000,0.804,1.120,1.901,computer
6,10.633,547.964,378.463,537.000,379.000,0,0,57,400,0.000,0.994,1.082,1.034,government
7,9.843,168.074,266.917,162.000,266.000,0,0,57,400,0.000,0.648,1.184,0.173,him
8,8.976,501.150,480.972,493.000,480.000,0,0,57,400,0.000,1.191,1.883,0.723,sheets
9,7.986,241.872,181.749,244.000,201.000,0,0,57,400,0.000,1.270,1.201,1.269,street
10,12.580,406.347,541.899,405.000,533.000,0,0,57,400,0.000,0.828,1.699,0.474,melon
11,11.790,350.000,150.000,339.000,153.000,0,0,57,400,0.000,1.197
