P15T4,B,2014-09-10

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.970,350.000,150.000,351.000,150.000,0,0,27,400,0.000,0.661,0.694,0.498,bring
1,3.132,293.653,541.899,295.000,542.000,0,0,27,400,0.000,0.543,0.640,0.519,apple
2,2.589,458.128,181.749,463.000,185.000,0,0,27,400,0.000,0.398,0.703,0.225,her
3,5.034,198.850,480.972,201.000,483.000,0,0,27,400,0.000,0.386,0.626,0.453,gates
4,4.491,531.926,266.917,538.000,270.000,0,0,27,400,0.000,0.351,0.753,0.467,melon
5,4.093,152.036,378.463,151.000,380.000,0,0,27,400,0.000,0.444,0.771,0.502,table
6,6.519,547.964,378.463,555.000,381.000,0,0,27,400,0.000,0.374,0.874,1.474,google
7,5.976,168.074,266.917,166.000,269.000,0,0,27,400,0.000,0.404,0.705,0.520,bring
8,5.577,501.150,480.972,507.000,483.000,0,0,27,400,0.000,0.496,0.772,0.409,you
9,5.191,241.872,181.749,244.000,180.000,0,0,27,400,0.000,0.491,0.702,1.618,microphone
10,8.592,406.347,541.899,409.000,545.000,0,0,27,400,0.000,0.540,0.598,0.489,chair
11,8.049,350.000,150.000,351.000,148.000,0,0,27,400,0.000,0.510
