P15Test,A,2014-09-08

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.499,350.000,150.000,356.000,170.000,0,0,57,400,0.000,3.756,4.535,1.745,yahoo
1,22.385,293.653,541.899,294.000,564.000,0,0,57,400,0.000,1.726,7.364,3.719,fingers
2,20.659,458.128,181.749,452.000,196.000,0,0,57,400,0.000,2.051,4.216,2.021,suitcase
3,34.637,198.850,480.972,173.000,481.000,0,0,57,400,0.000,3.997,4.841,4.721,you
4,32.911,531.926,266.917,525.000,261.000,0,0,57,400,0.000,1.754,3.923,1.801,apple
5,30.861,152.036,378.463,160.000,362.000,0,0,57,400,0.000,1.671,2.496,2.573,speakers
6,46.827,547.964,378.463,534.000,391.000,0,0,57,400,0.000,1.449,2.250,3.119,candle
7,45.101,168.074,266.917,165.000,268.000,0,0,57,400,0.000,1.319,2.295,1.530,garbage
8,43.051,501.150,480.972,484.000,474.000,0,0,57,400,0.000,1.219,1.757,0.372,her
9,39.054,241.872,181.749,222.000,194.000,0,0,57,400,0.000,1.672,1.638,2.083,carnegie
10,58.950,406.347,541.899,412.000,519.000,0,0,57,400,0.000,1.174,1.495,6.075,restaurant
11,57.225,350.000,150.000,362.000,148.000,0,0,57,400,0.000,1.492
