P18T1,B,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.977,350.000,150.000,351.000,148.000,0,0,27,400,0.000,0.000,0.588,0.463,table
1,2.666,293.653,541.899,300.000,538.000,0,0,27,400,0.000,0.353,0.681,0.906,keyboard
2,2.313,458.128,181.749,462.000,188.000,0,0,27,400,0.000,0.488,0.542,0.258,him
3,4.375,198.850,480.972,194.000,481.000,0,0,27,400,0.000,0.384,0.614,0.346,male
4,4.022,531.926,266.917,536.000,263.000,0,0,27,400,0.000,0.244,0.602,0.423,tree
5,3.534,152.036,378.463,152.000,376.000,0,0,27,400,0.000,0.264,0.614,0.426,tree
6,5.904,547.964,378.463,549.000,373.000,0,0,27,400,0.000,0.207,0.632,0.684,street
7,5.551,168.074,266.917,170.000,263.000,0,0,27,400,0.000,0.272,0.653,0.492,candle
8,5.063,501.150,480.972,500.000,479.000,0,0,27,400,0.000,0.285,0.678,0.429,mouse
9,4.679,241.872,181.749,237.000,178.000,0,0,27,400,0.000,0.340,0.494,0.661,street
10,7.767,406.347,541.899,407.000,540.000,0,0,27,400,0.000,0.380,0.551,0.946,carnegie
11,7.414,350.000,150.000,347.000,154.000,0,0,27,400,0.000,0.321
