P18T1,C,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.073,350.000,150.000,349.000,151.000,0,0,13,400,0.000,0.493,0.894,0.610,yahoo
1,3.327,293.653,541.899,299.000,542.000,0,0,13,400,0.000,0.376,0.788,1.529,toothpaste
2,2.951,458.128,181.749,461.000,183.000,0,0,13,400,0.000,0.048,0.586,0.408,chair
3,5.555,198.850,480.972,201.000,476.000,0,0,13,400,0.000,0.284,0.720,0.650,avenue
4,5.178,531.926,266.917,531.000,268.000,0,0,13,400,0.000,0.420,0.729,0.409,melon
5,5.131,152.036,378.463,154.000,378.000,0,0,13,400,0.000,0.418,0.708,0.636,tissue
6,7.242,547.964,378.463,554.000,375.000,1,0,13,400,0.959,0.377,0.847,2.060,male
7,6.866,168.074,266.917,171.000,268.000,0,0,13,400,0.000,0.370,0.687,0.564,flower
8,6.818,501.150,480.972,504.000,479.000,0,0,13,400,0.000,0.406,0.690,0.494,candle
9,6.533,241.872,181.749,243.000,188.000,1,0,13,400,0.352,0.309,0.640,1.753,government
10,8.966,406.347,541.899,406.000,540.000,0,0,13,400,0.000,0.501,0.698,0.398,mouse
11,8.590,350.000,150.000,351.000,148.000,0,0,13,400,0.000,0.343
