P18T5,A,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.723,350.000,150.000,348.000,146.000,0,0,57,400,0.000,0.000,0.555,0.668,sheets
1,2.013,293.653,541.899,289.000,550.000,0,0,57,400,0.000,0.248,0.551,0.959,research
2,1.765,458.128,181.749,460.000,173.000,0,0,57,400,0.000,0.358,0.532,0.948,ceiling
3,3.284,198.850,480.972,221.000,490.000,0,0,57,400,0.000,0.319,0.493,0.654,street
4,3.037,531.926,266.917,515.000,268.000,0,0,57,400,0.000,0.305,0.496,0.788,friend
5,2.679,152.036,378.463,165.000,394.000,0,0,57,400,0.000,0.274,0.505,0.306,male
6,4.604,547.964,378.463,552.000,385.000,0,1,57,400,0.000,0.650,0.537,0.840,backpack
7,4.356,168.074,266.917,179.000,266.000,0,0,57,400,0.000,0.382,0.611,0.699,computer
8,3.999,501.150,480.972,500.000,477.000,0,0,57,400,0.000,0.212,0.633,0.331,lamp
9,3.679,241.872,181.749,238.000,190.000,0,0,57,400,0.000,0.290,0.960,1.081,napkin
10,5.886,406.347,541.899,407.000,540.000,0,0,57,400,0.000,0.411,0.478,0.678,female
11,5.638,350.000,150.000,342.000,154.000,0,0,57,400,0.000,0.281
