P19T1,B,2014-09-08

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.072,350.000,150.000,354.000,156.000,0,0,27,400,0.000,0.561,0.773,1.228,ceiling
1,6.401,293.653,541.899,292.000,547.000,0,0,27,400,0.000,1.297,1.483,0.515,yahoo
2,5.104,458.128,181.749,460.000,183.000,0,1,27,400,0.000,0.609,0.688,0.726,scanner
3,10.013,198.850,480.972,203.000,480.000,0,1,27,400,0.000,0.504,0.741,0.804,garbage
4,8.715,531.926,266.917,537.000,269.000,0,0,27,400,0.000,0.612,0.895,1.431,backpack
5,8.106,152.036,378.463,147.000,380.000,0,0,27,400,0.000,0.463,0.741,1.212,toothpaste
6,11.987,547.964,378.463,557.000,377.000,0,0,27,400,0.000,0.543,0.775,0.668,printer
7,10.689,168.074,266.917,171.000,269.000,0,0,27,400,0.000,0.451,0.680,0.523,flower
8,10.080,501.150,480.972,502.000,475.000,0,0,27,400,0.000,0.328,0.689,0.778,computer
9,9.576,241.872,181.749,241.000,178.000,0,0,27,400,0.000,0.532,0.768,2.655,candle
10,15.228,406.347,541.899,407.000,546.000,0,0,27,400,0.000,0.332,0.662,1.098,research
11,13.931,350.000,150.000,349.000,145.000,0,0,27,400,0.000,0.413
